variant,seed,H,n_universe,n_selected,n_closed,n_dropped_limitup,n_dropped_no_quote,n_dropped_cash,n_truncated,net_mean,net_median,win_rate,cluster_t,win_year_share,date_conc
v1,S1,10,96577,5580,5545,26,0,0,9,0.021051,0.013621,0.545897,2.937744,0.818182,0.440449
v1,S1,20,96577,5580,5534,26,0,0,20,0.048870,0.042600,0.605710,5.361073,0.909091,0.277451
v1,S1,25,96577,5580,5451,26,0,0,103,0.045918,0.037775,0.593469,3.962040,0.954545,0.335367
v1,S2,10,96577,2419,2394,16,0,0,9,0.027025,0.015790,0.552632,2.140149,0.875000,0.617428
v1,S2,20,96577,2419,2384,16,0,0,19,0.059955,0.048232,0.611577,3.724508,1.000000,0.395314
v1,S2,25,96577,2419,2345,16,0,0,58,0.050547,0.040585,0.582942,2.342043,1.000000,0.529062
v1,S3,10,96577,1159,1140,10,0,0,9,0.031556,0.018376,0.548246,1.811224,1.000000,0.726665
v1,S3,20,96577,1159,1135,10,0,0,14,0.065276,0.049999,0.607048,3.025903,1.000000,0.477469
v1,S3,25,96577,1159,1116,10,0,0,33,0.052730,0.038908,0.564516,1.766592,1.000000,0.687425
v1,S4,10,96577,11888,11749,113,0,0,26,0.020916,0.015232,0.550089,3.326552,0.888889,0.344226
v1,S4,20,96577,11888,11694,113,0,0,81,0.056795,0.049174,0.619035,6.472477,0.925926,0.239191
v1,S4,25,96577,11888,11571,113,0,0,204,0.054344,0.047109,0.603405,5.041786,0.925926,0.293360
v1,S5,10,96577,3271,3210,39,0,0,22,0.027943,0.017126,0.547040,2.278054,0.833333,0.578333
v1,S5,20,96577,3271,3182,39,0,0,50,0.096437,0.090730,0.696103,5.935145,0.916667,0.451030
v1,S5,25,96577,3271,3152,39,0,0,80,0.091266,0.080108,0.646574,4.166813,0.916667,0.556623
v1,ALL,10,96577,96577,95545,549,0,10,473,0.003222,-0.002016,0.489173,1.658368,0.606061,0.692951
v1,ALL,20,96577,96577,95386,549,0,10,632,0.015817,0.002975,0.510599,4.543354,0.636364,0.316046
v1,ALL,25,96577,96577,94975,549,0,10,1043,0.015467,0.002409,0.508144,4.333058,0.606061,0.281196
v2,S1,10,89492,5926,5907,12,0,0,7,0.031476,0.027375,0.600305,4.598432,0.956522,0.374106
v2,S1,20,89492,5926,5898,12,0,0,16,0.059250,0.051070,0.630044,5.201585,0.956522,0.351986
v2,S1,25,89492,5926,5808,12,0,0,106,0.063874,0.050343,0.618113,4.219983,1.000000,0.420422
v2,S2,10,89492,2773,2761,5,0,0,7,0.040840,0.036558,0.625136,3.645722,0.777778,0.527304
v2,S2,20,89492,2773,2753,5,0,0,15,0.076069,0.066586,0.655648,3.900315,0.944444,0.514008
v2,S2,25,89492,2773,2717,5,0,0,51,0.081162,0.061526,0.628266,2.929663,0.944444,0.634395
v2,S3,10,89492,1496,1486,3,0,0,7,0.047515,0.044277,0.641992,3.374517,0.700000,0.647675
v2,S3,20,89492,1496,1482,3,0,0,11,0.089906,0.081958,0.674089,3.252936,0.700000,0.650718
v2,S3,25,89492,1496,1466,3,0,0,27,0.098162,0.075045,0.630969,2.456680,0.666667,0.794137
v2,S4,10,89492,12509,12383,102,0,0,24,0.031175,0.027646,0.597190,4.828326,0.925926,0.347440
v2,S4,20,89492,12509,12329,102,0,0,78,0.062146,0.050526,0.624544,5.583032,0.925926,0.327428
v2,S4,25,89492,12509,12189,102,0,0,218,0.065778,0.051171,0.612848,4.635654,1.000000,0.383607
v2,S5,10,89492,3536,3479,38,0,0,19,0.048991,0.046209,0.637540,4.034271,0.736842,0.590431
v2,S5,20,89492,3536,3450,38,0,0,48,0.104335,0.095429,0.689565,4.438585,0.736842,0.553553
v2,S5,25,89492,3536,3420,38,0,0,78,0.111302,0.093350,0.651170,3.419670,0.789474,0.636642
v2,ALL,10,89492,89492,88645,465,0,11,371,0.007947,0.002526,0.514423,3.763594,0.666667,0.342388
v2,ALL,20,89492,89492,88520,465,0,11,496,0.021280,0.007572,0.527158,5.431400,0.727273,0.278215
v2,ALL,25,89492,89492,88052,465,0,11,964,0.021989,0.007379,0.525530,5.293334,0.636364,0.259244
