pool,H,n,net_mean,net_median,win_rate,loss_share,n_flat,win_mean,loss_mean,win_median,loss_median,loss_win_ratio,gross_profit,gross_loss,net_total,loss_over_gp,loss_over_np,worst5_over_gp,worst10_over_gp,best5_over_gp,best10_over_gp,trim1_mean,trim5_mean,trim10_mean,best_trade,worst_trade
v6-1,10,3384,0.022204074481618933,0.01686300775011455,0.567080378250591,0.43291962174940896,0,0.09550798916723723,-0.07381654823626604,0.0719982001593419,-0.05492716602036047,0.7728834925737066,18145893.12002102,-10673468.096999986,7472425.023021033,0.5882029628634572,1.428380755125302,0.20046305016483446,0.3106967706636484,0.28387191611459434,0.45093066642212626,0.02611822934066712,0.034850555657116825,0.04345058534579749,1.0550495671358315,-0.8260710041985759
v6-2,10,1093,0.03553351865282827,0.032051071137240754,0.6312900274473925,0.3687099725526075,0,0.10180187112152717,-0.07792842477993164,0.08032459136940162,-0.060744490466503424,0.7654910850008216,6953730.985241008,-3108199.9172229962,3845531.0680180117,0.44698305468244537,0.8082628542707272,0.16399717718026952,0.25893493850108923,0.25176708239588635,0.40828123373165726,0.03904865833123699,0.04844426366739296,0.057926547544560725,1.0550495671358315,-0.8260710041985759
v6-3,10,408,0.04367944565829361,0.042356332229011334,0.6495098039215687,0.35049019607843135,0,0.11027219949752352,-0.0797267065612583,0.08777688195333784,-0.0629954476187799,0.722999150507094,2890709.860595003,-1132083.1685722484,1758626.6920227543,0.3916280855454752,0.6437313693164397,0.13911710740609393,0.22474689732196945,0.2642252407036919,0.40738685566081134,0.047098044447528166,0.056342929019003445,0.06618505305432217,1.0550495671358315,-0.3764191628507367
v6-4,10,7347,0.025404260600019535,0.01856821866395123,0.5677147134884987,0.4322852865115013,0,0.10388702468130113,-0.07766614525105903,0.07884373652942117,-0.057981056575705375,0.7476019790663841,42901106.64079804,-24361985.485484716,18539121.155313324,0.5678638010311134,1.3140852406858863,0.2051874274767542,0.30733023465603965,0.2933911801492428,0.45369647077526853,0.030215444651515943,0.039526120345900764,0.04843868327942868,8.640400358682328,-0.8990351371687922
v6-5,10,1839,0.03304309582459496,0.024532082669892097,0.5769439912996194,0.4230560087003806,0,0.11738138883594236,-0.08197352227956901,0.09510695305825466,-0.060968103329470114,0.6983519541938542,12333923.124421261,-6326242.219579241,6007680.90484202,0.5129140303342117,1.0530256715999131,0.1903347477293364,0.2814102503993928,0.26779863524716807,0.42367437355794274,0.038210768266120174,0.04829656017178639,0.05781733202747617,1.0550495671358315,-0.8990351371687922
ALL,10,75528,0.0035980446247943026,-0.0022958272777374436,0.4872894820463934,0.5127105179536066,0,0.07346157286401096,-0.0628015342750128,0.0483197344650426,-0.047002946817699204,0.8548895950168179,267875928.38460737,-240657899.4342151,27218028.950392276,0.8983931512079968,8.841856251708728,0.27808849996865836,0.43636346057585684,0.36935454946313545,0.5529624046983159,0.007020704838084526,0.014300607548601898,0.021402301848538172,8.640400358682328,-0.9566911718073488
v6-1,20,3374,0.03677865881885303,0.03107313098384983,0.5939537640782454,0.4060462359217546,0,0.1344142135829675,-0.106040065084275,0.10089955279830284,-0.0804222039566683,0.7889051481807875,26671823.68217752,-14334870.800667735,12336952.881509786,0.5374537178815595,1.1619458174434922,0.18748409044337974,0.29694722841278126,0.2760304202828395,0.4367141202042207,0.04190157682716031,0.05455032120882466,0.06731681405816227,2.685847159925726,-0.840569255941153
v6-2,20,1084,0.048799073224114,0.04111694979652481,0.6254612546125461,0.37453874538745385,0,0.143176745020724,-0.10880698952983081,0.10925169925722066,-0.08279366354026466,0.7599487578383042,9614201.666198507,-4366646.371743246,5247555.294455261,0.45418709980834376,0.8321296540423667,0.16685625955922997,0.2625319519548847,0.2530901590776722,0.41277813928344864,0.05379647564057307,0.0670919141671617,0.08034983829895581,0.9899390858008349,-0.840569255941153
v6-3,20,403,0.06504771415096437,0.04671166756353976,0.6426799007444168,0.3573200992555831,0,0.15938960381903977,-0.10463665684925456,0.11495789417582565,-0.07686870318395364,0.6564835744748571,4087625.562448753,-1492814.5735402484,2594810.9889085046,0.3652033560153087,0.5753076350922169,0.13954067494022107,0.21872661919029643,0.2546965718163924,0.41290741987351753,0.0702463831598618,0.08348564250836012,0.09709711344364816,0.9899390858008349,-0.6535832706514614
v6-4,20,7295,0.05902092132227245,0.04646640129458805,0.6345442083618917,0.3654557916381083,0,0.1560744290254211,-0.10949396508353221,0.12002762244275704,-0.07945176689347576,0.7015496758004993,71553632.5700593,-28802162.71841272,42751469.85164658,0.4025255138544093,0.6737116365439632,0.15945686511271193,0.2448882448892066,0.2647045323553069,0.41862438273338504,0.06473084762320089,0.07883010513260566,0.09264584698656841,9.835304986863253,-0.8493858110609502
