,2022,2023,2024,2025,mean_delta,years_above_null95
divergence_amount,0.03685965314028694,0.00863045887399383,0.02676224182963932,0.014878288490218439,0.021782660583534633,4
bb_squeeze_rankpct,0.07155932946005661,0.0058801248541721085,0.004227991741795667,0.0022468046012573684,0.020978562664320438,4
rsi_overbought_6_rankpct,0.04430761064969824,-0.006276616910548594,0.00017826001676646275,-0.0001360465924019616,0.009518301790878536,1
macd_zero_cross_rankpct,0.008864616781521395,-0.005231336520770458,0.010252063095444963,0.012817368567622944,0.006675677980954711,3
market_avg_amplitude,0.013279886192270052,0.0014091488998423385,0.0024203593878093232,-0.0015415143481125604,0.0038919700329522883,3
atr_ratio,-9.788983338010482e-05,0.007032103888798935,0.0038442748262998983,0.0015046506604892151,0.003070784885551986,3
support_resistance_ratio_lag_5,-0.003644411771862144,0.0010362568447550013,0.010142114693091786,0.004182403829917192,0.002929090898975459,3
dist_to_high_60,-0.000340213393378086,-0.00012718191776889265,0.004722689609806985,0.003867781335971987,0.0020307689086579983,2
price_vs_ma5,0.0003195806908448118,9.298615702529878e-05,0.006037005650604665,-8.059804774918078e-06,0.0016103781734249645,1
volatility_15d,0.0020120844862375753,0.0034479619201692735,0.0009880800586884453,-0.00020003884430686014,0.0015620219051971085,3
market_sync_score,-0.010652323437380429,0.006157974255465659,0.000995382168600456,0.009200015696912978,0.001425262170899666,3
ma_arrangement_rankpct,0.0033628816408894924,-0.0003602145037112092,0.001156737598377089,0.0007465899118750396,0.001226498661857603,3
macd_death_cross_rankpct,0.00033129468972015186,-0.0006233933808598158,0.0017618093865172102,0.002853588896034709,0.0010808248978530638,2
price_vs_ma60,0.0009876634820489283,8.580297097432465e-05,0.0013153627872616869,0.001794838990877956,0.001045917057790724,3
close_current,0.003940808681538455,0.000372313518305023,0.0008427171190670268,-0.0011552477525280658,0.0010001478915956097,2
volatility_5d,0.0007577498954984829,0.002314216491777099,-0.0004168313695350756,0.0006000734654760809,0.0008138021208041468,3
support_resistance_ratio,-0.0016178912282167612,0.0013193144613110608,0.0025892231908105634,0.0004566872108744402,0.0006868334086948258,3
rsi_14,7.646066662547746e-05,9.640731623239418e-06,0.00253966458956717,3.652453562608127e-05,0.000665572630860492,1
macd_zero_cross_down_rankpct,-0.0007733511657820324,-0.0019266898435992275,0.0025769893555264156,0.0026718986481424345,0.0006372117485718976,2
log_volume_z,-0.00032718639686257767,8.098805757522642e-05,0.00028349509218161817,0.00216705775693371,0.0005510886274569943,1
market_avg_change,0.004612130346039134,-0.0005197433744455471,0.000561054093326907,-0.0024790424793603716,0.0005435996463900306,2
bb_lower,0.00192421835172496,0.0002508058536887514,-3.3998837007942484e-05,-0.0001911858607692718,0.0004874598769091243,1
close_smooth_10,0.0004335641581334482,0.00021401879867755103,0.0003095523051495075,0.0003353876269641676,0.00032313072223116857,0
macd,0.00027665166736412505,0.0001263958277343824,-0.00018619517719203893,0.0008830565795800993,0.00027497722437164196,1
ma_5,0.0005690389494645842,-6.693703554755404e-05,0.0004520262036641354,0.0001238500615989846,0.00026949454479503754,2
macd_signal_z,0.0,-4.72839160670091e-06,0.0009340536401786781,0.0,0.0002323313121429943,1
distance_to_resistance,-0.0001962777075603661,0.0002896328648999136,0.0002983936219832506,0.0004987453824545351,0.0002226235404443333,1
volume_spike_rankpct,0.0006307930176558951,-0.00036015180887738474,0.0001480569545100896,0.00041538798490026174,0.00020852153704721543,1
bb_squeeze_z,-4.059833120828582e-05,0.0003223429451595927,0.00010964012230296749,0.0004039048616366614,0.00019882239947273395,0
rsi_oversold_24_z,0.0007183722912591506,-8.684817769077924e-05,0.00010851149124641024,-3.7187103807179156e-05,0.0001757121252519006,1
rsi_24,-2.1991178801306077e-05,2.335879361126114e-05,0.0006599640426654396,2.3751157932849765e-05,0.0001712707038520611,1
rsi_oversold_14_z,0.00082358803116378,4.383366059201865e-05,0.00011211849456727041,-0.00031717185979451834,0.00016559208163213768,1
illiq_z,1.7251769181769738e-05,-4.2334228522677986e-05,0.0004520844220544107,0.0002250726418624449,0.00016301865114398684,1
