variant,seed,H,n_universe,n_selected,n_closed,n_dropped_limitup,n_dropped_no_quote,n_dropped_cash,n_truncated,net_mean,net_median,win_rate,share_gt_1pct,cluster_t,win_year_share,date_conc
V1,ALL,10,1033193,1033193,1025638,905,0,155,6495,0.001724,-0.003495,0.480705,0.425123,1.189039,0.571429,0.836521
V1,ALL,20,1033193,1033193,1023184,905,0,155,8949,0.000331,-0.008337,0.468067,0.430150,0.167833,0.542857,4.605938
V1,ALL,25,1033193,1033193,1022518,905,0,155,9615,0.004984,-0.007677,0.473759,0.440210,2.238892,0.571429,0.415707
V1,v6-1,10,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-1,20,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-1,25,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-2,10,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-2,20,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-2,25,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-3,10,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-3,20,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-3,25,1033193,0,0,0,0,0,0,,,,,,,
V1,v6-4,10,1033193,183713,182130,462,0,12,1109,0.011474,0.004793,0.519025,0.479092,3.440942,0.742857,0.360040
V1,v6-4,20,1033193,183713,181866,462,0,12,1373,0.012794,0.003454,0.509864,0.481525,2.712451,0.800000,0.475541
V1,v6-4,25,1033193,183713,181403,462,0,12,1836,0.021969,0.007459,0.519661,0.493277,4.170585,0.828571,0.337743
V1,v6-5,10,1033193,48845,48098,233,0,1,513,0.028503,0.018604,0.564951,0.530459,4.939508,0.812500,0.388337
V1,v6-5,20,1033193,48845,47930,233,0,1,681,0.031126,0.013155,0.531796,0.507782,2.851331,0.812500,0.551508
V1,v6-5,25,1033193,48845,47632,233,0,1,979,0.042773,0.017558,0.540099,0.517215,3.517884,0.843750,0.477580
