,fold_0,fold_1,fold_2,fold_3,fold_4,importance_mean,importance_std
rsi_overbought_24_rankpct,0,1,2,2,106,22.2,41.90656273186814
divergence_amount,2,2,0,1,55,12.0,21.51278689523977
rsi_oversold_24_rankpct,1,2,1,0,47,10.2,18.41086635658409
sh_price_change_rankpct,0,0,0,0,50,10.0,20.0
cs_n,1,2,3,0,44,10.0,17.029386365926403
bb_squeeze_rankpct,0,3,4,2,40,9.8,15.157836257197134
ma_arrangement_rankpct,0,0,2,0,47,9.8,18.616122045152157
boxcox_atr,0,0,0,1,27,5.6,10.707007051459337
dist_to_high_60,0,0,0,1,24,5.0,9.50789145920377
rsi_overbought_14_rankpct,0,2,1,0,19,4.4,7.3375745311376575
atr_ratio,0,0,0,0,21,4.2,8.4
rsi_oversold_6_rankpct,0,1,1,0,19,4.2,7.413501197140255
ma_arrangement_z,0,0,0,0,20,4.0,8.0
macd_golden_cross_rankpct,1,0,0,0,19,4.0,7.5099933422074345
macd_hist_direction_rankpct,0,0,0,1,18,3.8,7.110555533852471
sz_volume_ratio,1,0,0,1,13,3.0,5.019960159204453
stoch_oversold_rankpct,0,0,0,0,15,3.0,6.0
market_avg_amplitude,0,0,0,0,15,3.0,6.0
macd_zero_cross_up_rankpct,1,0,0,0,13,2.8,5.114684741017769
doji_pattern_rankpct,0,0,0,0,11,2.2,4.4
macd_hist_direction_z,0,0,0,0,11,2.2,4.4
volatility_10d,0,0,0,1,10,2.2,3.9191835884530852
rsi_overbought_6_rankpct,0,0,1,1,8,2.0,3.03315017762062
return_lag_2,0,0,0,0,10,2.0,4.0
macd_zero_cross_rankpct,0,0,0,0,9,1.8,3.6000000000000005
sz_amplitude,0,0,0,0,9,1.8,3.6000000000000005
sz_price_change,0,0,0,0,9,1.8,3.6000000000000005
macd_zero_cross_down_rankpct,0,0,0,0,7,1.4,2.8
sz_price_change_abs,1,0,0,0,6,1.4,2.33238075793812
sh_volume_ratio,0,0,0,0,6,1.2,2.4
support_resistance_ratio_lag_1,0,0,0,0,6,1.2,2.4
slowd,0,0,0,0,6,1.2,2.4
distance_to_resistance,0,0,0,0,6,1.2,2.4
sh_amplitude,0,0,0,0,6,1.2,2.4
macd_death_cross_rankpct,0,0,0,0,6,1.2,2.4
