feature,fold_count,fold_percentage,importance_mean,importance_std
rsi_14,5,1.0,0.6,1.2
volume_ma_20,5,1.0,0.2,0.4
slowd,5,1.0,1.2,2.4
price_vs_ma20,5,1.0,0.4,0.8
atr_ratio,5,1.0,4.2,8.4
distance_to_support,5,1.0,0.2,0.4
distance_to_resistance,5,1.0,1.2,2.4
volatility_10d,5,1.0,2.2,3.9191835884530852
volatility_20d,5,1.0,0.8,1.1661903789690602
volatility_30d,5,1.0,0.2,0.4
upper_shadow_ratio,5,1.0,0.2,0.4
rank_volume,5,1.0,0.2,0.4
dist_to_high_60,5,1.0,5.0,9.50789145920377
vol_divergence,5,1.0,0.2,0.4
illiq,5,1.0,0.2,0.4
boxcox_atr,5,1.0,5.6,10.707007051459337
macd_robust,5,1.0,0.4,0.8
open_lag_5,5,1.0,0.2,0.4
volume_lag_3,5,1.0,0.4,0.8
volume_lag_25,5,1.0,0.2,0.4
return_lag_2,5,1.0,2.0,4.0
return_lag_20,5,1.0,0.2,0.4
amplitude,5,1.0,0.4,0.8
efficiency_ratio_lag_1,5,1.0,0.6,1.2
efficiency_ratio_lag_3,5,1.0,0.2,0.4
smart_money_diff_lag_3,5,1.0,0.6,1.2
ret_intraday_lag_3,5,1.0,0.2,0.4
support_resistance_ratio_lag_1,5,1.0,1.2,2.4
support_resistance_ratio_lag_3,5,1.0,0.2,0.4
support_resistance_ratio_lag_5,5,1.0,0.4,0.8
sh_amplitude,5,1.0,1.2,2.4
sh_volume_ratio,5,1.0,1.2,2.4
sh_price_change_abs,5,1.0,0.4,0.8
sh_sentiment,5,1.0,0.2,0.4
sz_price_change,5,1.0,1.8,3.6000000000000005
sz_amplitude,5,1.0,1.8,3.6000000000000005
sz_volume_ratio,5,1.0,3.0,5.019960159204453
sz_price_change_abs,5,1.0,1.4,2.33238075793812
sz_price_wave_abs,5,1.0,0.6,1.2
sz_sentiment,5,1.0,0.2,0.4
sh_sz_sync_strength,5,1.0,0.6,1.2
market_avg_amplitude,5,1.0,3.0,6.0
market_sync_score,5,1.0,0.2,0.4
cs_n,5,1.0,10.0,17.029386365926403
slowd_rankpct,5,1.0,0.8,1.6
price_vs_ma20_rankpct,5,1.0,0.6,1.2
ma_arrangement_rankpct,5,1.0,9.8,18.616122045152157
bb_squeeze_rankpct,5,1.0,9.8,15.157836257197134
rsi_oversold_6_rankpct,5,1.0,4.2,7.413501197140255
rsi_oversold_14_rankpct,5,1.0,1.0,2.0
rsi_oversold_24_rankpct,5,1.0,10.2,18.41086635658409
rsi_overbought_6_rankpct,5,1.0,2.0,3.03315017762062
rsi_overbought_14_rankpct,5,1.0,4.4,7.3375745311376575
rsi_overbought_24_rankpct,5,1.0,22.2,41.90656273186814
macd_golden_cross_rankpct,5,1.0,4.0,7.5099933422074345
volume_spike_rankpct,5,1.0,0.2,0.4
hammer_pattern_rankpct,5,1.0,0.4,0.48989794855663565
doji_pattern_rankpct,5,1.0,2.2,4.4
stoch_oversold_rankpct,5,1.0,3.0,6.0
stoch_overbought_rankpct,5,1.0,0.6,1.2
macd_death_cross_rankpct,5,1.0,1.2,2.4
macd_zero_cross_up_rankpct,5,1.0,2.8,5.114684741017769
macd_zero_cross_down_rankpct,5,1.0,1.4,2.8
macd_zero_cross_rankpct,5,1.0,1.8,3.6000000000000005
macd_hist_direction_rankpct,5,1.0,3.8,7.110555533852471
macd_signal_convergence_rankpct,5,1.0,0.2,0.4
macd_signal_convergence_trend_rankpct,5,1.0,0.2,0.4
upper_shadow_ratio_rankpct,5,1.0,0.2,0.4
dist_to_high_60_rankpct,5,1.0,0.2,0.4
vol_divergence_rankpct,5,1.0,0.2,0.4
return_lag_5_rankpct,5,1.0,0.0,0.0
return_lag_10_rankpct,5,1.0,0.0,0.0
return_lag_20_rankpct,5,1.0,0.0,0.0
amplitude_rankpct,5,1.0,0.0,0.0
amplitude_lag_1_rankpct,5,1.0,0.0,0.0
amplitude_lag_3_rankpct,5,1.0,0.0,0.0
amplitude_lag_5_rankpct,5,1.0,0.0,0.0
vol_gk_lag_1_rankpct,5,1.0,0.0,0.0
vol_gk_ratio_lag_1_rankpct,5,1.0,0.0,0.0
vol_gk_lag_3_rankpct,5,1.0,0.0,0.0
vol_gk_ratio_lag_3_rankpct,5,1.0,0.0,0.0
vol_gk_lag_5_rankpct,5,1.0,0.2,0.4
vol_gk_ratio_lag_5_rankpct,5,1.0,0.2,0.4
vol_gk_lag_10_rankpct,5,1.0,0.0,0.0
