,selection_rate,sign_consistency,mean_abs_coef,std_abs_coef,strength_stability
sz_volume_ratio,1.0,1.0,0.2169949475606353,0.034282702075298384,6.329575395895823
is_quick_divergence_y,1.0,1.0,0.08001831293503192,0.013422427830135399,5.961537953318594
bb_squeeze,1.0,1.0,0.3082588475765689,0.0770928881592,3.9985380615135555
rsi_turning_simple_z,0.9166666666666666,1.0,0.04386844443680633,0.020900145899035723,2.098953980930358
rsi_turning_z,0.9166666666666666,1.0,0.04386844443680633,0.020900145899035723,2.098953980930358
sh_price_change_abs,0.9166666666666666,1.0,0.10206166451310872,0.0543932095082874,1.876367756853151
sh_sentiment,0.9166666666666666,1.0,0.10599126274970926,0.060403924372033686,1.7547082222158066
sh_volume_signal,0.9166666666666666,1.0,0.04924806687599153,0.03240985862576416,1.5195397007021147
clv,0.9166666666666666,1.0,0.023772037590087242,0.01635285424823557,1.453693479390742
intraday_pos,0.9166666666666666,1.0,0.023772037590087242,0.01635285424823557,1.453693479390742
efficiency_ratio_lag_5,0.9166666666666666,1.0,0.053545048218971214,0.04052219855834277,1.3213756934209404
rsi_oversold_24_rankpct,0.9166666666666666,1.0,0.03499399926315624,0.02728329530555958,1.2826162995063661
volume_spike,0.9166666666666666,1.0,0.01635359175571147,0.013981811356814852,1.169633271281449
boxcox_atr,0.8333333333333334,1.0,0.29434169055745135,0.14535491058636696,2.0249862173219078
macd_hist_trend_5,0.8333333333333334,1.0,0.11790735770963338,0.059919542459141516,1.9677613157682758
obv_trend_rankpct,0.8333333333333334,1.0,0.03976932876624622,0.02066330299460238,1.924635610126545
vol_divergence,0.8333333333333334,1.0,0.07037296923410073,0.04112605171759276,1.7111530598011875
rsi_oversold_6_z,0.8333333333333334,1.0,0.07385878245796647,0.044127886454726525,1.673743938172581
bb_squeeze_z,0.8333333333333334,1.0,0.16430546916913844,0.10617913866899724,1.5474364477691251
rsi_momentum,0.8333333333333334,1.0,0.0548847759658489,0.0367140856893307,1.4949242214630092
volume_lag_20_z,0.8333333333333334,1.0,0.027083582658662272,0.018443759951026324,1.4684415070775834
vol_divergence_rankpct,0.8333333333333334,1.0,0.10029568442389507,0.06831597338471782,1.4681146949203987
macd_death_cross_rankpct,0.8333333333333334,1.0,0.028040240384141935,0.01942122576971127,1.4437935440652054
vol_gk_ratio_z,0.8333333333333334,1.0,0.03173570676267113,0.02247363409808514,1.4121306159992684
sz_volume_signal,0.8333333333333334,1.0,0.07117417291777615,0.05094196167707586,1.3971619971950333
downtrend,0.8333333333333334,1.0,0.04468325959465742,0.032580002241122216,1.3714934475436766
