cell_id,sel,K,n_trades,entered,net_avg,win_rate,cluster_t,capital_utilization,annualized_cash,excess_cash,sharpe_cash,bench_annualized,dropped_slot_full,dropped_limitup,dropped_cash,truncated_no_next,truncated_window,truncated_exhausted,open_at_end,deferred_exits,exits_tp,exits_sl,exits_horizon,coverage
v2on6__ALL__H60__M__P7K3__E1_A6,M,3,64,65,0.025773479254953192,0.46875,0.985600690616488,0.877617958490566,0.11058991329010426,0.10502708380820858,0.5952747185174406,0.005562829481895681,24339,1,0,0,0,1,1,2,26,22,16,0.0026633886498668305
v2on6__ALL__H60__M__P7K5__E1_A6,M,5,124,124,-0.0021438601943728408,0.4274193548387097,-0.11739682187667796,0.8286635962264152,-0.018112731260826687,-0.023675560742722368,0.016629239266424862,0.005562829481895681,24280,1,0,0,0,0,0,8,41,45,38,0.005080926039745953
v2on6__ALL__H60__M__P7K10__E1_A6,M,10,209,211,0.006342280182979492,0.4258373205741627,0.4684225807916369,0.8302583320754716,0.019988423571521974,0.014425594089626292,0.2046783008067042,0.005562829481895681,24191,3,0,0,0,2,2,5,70,71,68,0.008645769309567711
v2on6__ALL__H60__S1__P7K3__E1_A6,S1,3,63,63,-0.010515038854795206,0.42857142857142855,-0.5297783831081729,0.79608845,-0.05715123288653745,-0.06271406236843313,-0.16535389197713882,0.005562829481895681,24342,0,0,0,0,0,0,1,13,19,31,0.002581438229870928
v2on6__ALL__H60__S1__P7K5__E1_A6,S1,5,107,107,-0.004127694636595964,0.4205607476635514,-0.24646907803602514,0.8079330066037735,-0.02510426124743881,-0.03066709072933449,-0.032107679759255284,0.005562829481895681,24297,1,0,0,0,0,0,4,22,33,52,0.004384347469780782
v2on6__ALL__H60__S1__P7K10__E1_A6,S1,10,207,207,-0.0038285790712400255,0.42028985507246375,-0.3000115455794373,0.8171531933962264,-0.024299068414649128,-0.02986189789654481,-0.05341784480593168,0.005562829481895681,24196,2,0,0,0,0,0,5,47,62,98,0.008481868469575906
v2on6__ALL__H60__S2__P7K3__E1_A6,S2,3,75,75,0.0036307196566209804,0.49333333333333335,0.1452075466069844,0.8015003094339622,0.030389809713233573,0.024826980231337892,0.2465514045111967,0.005562829481895681,24329,1,0,0,0,0,0,2,24,30,21,0.003073140749846343
v2on6__ALL__H60__S2__P7K5__E1_A6,S2,5,121,121,0.007648654158887153,0.4793388429752066,0.40671322927385334,0.8091442301886793,0.01930283031679214,0.01374000083489646,0.1994089388850625,0.005562829481895681,24280,3,1,0,0,0,0,4,39,46,36,0.0049580004097521
v2on6__ALL__H60__S2__P7K10__E1_A6,S2,10,225,227,0.007687008196927765,0.4577777777777778,0.5718933027852645,0.7949174028301886,0.041806632874076044,0.03624380339218036,0.31203950300456385,0.005562829481895681,24170,5,3,0,0,2,2,9,75,85,65,0.009301372669534931
v2on6__ALL__H60__S3__P7K3__E1_A6,S3,3,74,74,-0.021796781422707863,0.44594594594594594,-0.8810119620703547,0.701868970754717,-0.10838634107833911,-0.11394917056023479,-0.2632814177527108,0.005562829481895681,24318,1,12,0,0,0,0,3,20,34,20,0.0030321655398483915
v2on6__ALL__H60__S3__P7K5__E1_A6,S3,5,112,113,0.0032184242375356354,0.4732142857142857,0.17079362644552704,0.8225708783018868,0.01328977604412973,0.007726946562234049,0.17264565928322945,0.005562829481895681,24289,3,0,0,0,1,1,4,33,43,36,0.00463019872976849
v2on6__ALL__H60__S3__P7K10__E1_A6,S3,10,234,235,0.0006195628587111116,0.44017094017094016,0.04362870666969386,0.821609183018868,0.007432445752218575,0.0018696162703228936,0.13642722652771272,0.005562829481895681,24164,4,2,0,0,1,1,11,74,94,66,0.009629174349518542
v2on6__ALL__H60__S4__P7K3__E1_A6,S4,3,66,66,-0.006414633823642813,0.3939393939393939,-0.270088535083026,0.7936653339622641,-0.04912386330860474,-0.054686692790500424,-0.12678771110307865,0.005562829481895681,24339,0,0,0,0,0,0,0,19,25,22,0.002704363859864782
v2on6__ALL__H60__S4__P7K5__E1_A6,S4,5,106,106,-0.03592172848246416,0.3584905660377358,-2.1350620644610396,0.6259010075471698,-0.2425772711207338,-0.24814010060262948,-1.1481130534262227,0.005562829481895681,24239,0,60,0,0,0,0,8,19,38,49,0.004343372259782831
v2on6__ALL__H60__S4__P7K10__E1_A6,S4,10,211,212,0.001936470973813274,0.4265402843601896,0.13352494436773965,0.8433525481132076,0.015382277948771783,0.009819448466876102,0.17511968414177329,0.005562829481895681,24191,2,0,0,0,1,1,19,63,71,77,0.008686744519565663
v2on6__ALL__H60__S5__P7K3__E1_A6,S5,3,55,55,0.019923424838949412,0.5454545454545454,0.8439910154224345,0.8449209235849057,0.07641998518526982,0.07085715570337414,0.5128031301820175,0.005562829481895681,24350,0,0,0,0,0,0,0,14,10,31,0.0022536365498873182
v2on6__ALL__H60__S5__P7K5__E1_A6,S5,5,96,96,0.002263582546822658,0.4895833333333333,0.1072425196011405,0.8292690433962263,0.004705490176330374,-0.0008573393055653078,0.11574336640013945,0.005562829481895681,24309,0,0,0,0,0,0,1,25,26,45,0.003933620159803319
v2on6__ALL__H60__S5__P7K10__E1_A6,S5,10,198,198,-0.008211772509736415,0.43434343434343436,-0.6160735415529119,0.8049035273584905,-0.041480211048638194,-0.047043040530533875,-0.18012373160149395,0.005562829481895681,24204,0,3,0,0,0,0,4,43,58,97,0.008113091579594346
