cell_id,pool,H,sel,pos,exit,family,total_signals,entered,n_trades,dropped_slot_full,dropped_limitup,dropped_no_quote,dropped_cash,truncated_no_next,truncated_window,truncated_exhausted,deferred_exits,open_at_end,vol_fallback_mid,p3_atr_fallback,p4_atr_fallback,e4_lot_skip,e7_atr_missing,exits_E0,exits_tp,exits_sl,exits_horizon,exits_trail_tp,exits_scale_out,exits_breakeven_sl,exits_time_stop,exits_chandelier_sl,neg_equity_idx_days,neg_equity_cash_days,signal_days,signal_days_burst,signal_max,p5_days_diluted,p5_days_cashbound,coverage,capital_utilization,final_equity_cash,final_equity_idx,annualized_cash,annualized_idx,bench_annualized,excess_cash,excess_idx,per_cash,per_idx,sharpe_cash,sharpe_idx,maxdd_cash,maxdd_idx,cluster_t,passed,runtime_sec
ALL__H10__S0__P5__E0,ALL,10,S0,P5,E0,E0,76471,13734,13609,0,461,0,62194,82,117,8,209,125,0,0,0,0,0,13609,0,0,0,0,0,0,0,0,94,0,3395,1706,488,1706,3207,0.179597,0.368187,140012.679276,-12956.604063,-0.127253,-1.000000,0.031245,-0.158497,-1.031245,-0.430480,-2.800873,-0.474224,,-0.876846,-1.021832,-2.246227,False,1.815000
ALL__H10__S0__P5__E1_A1,ALL,10,S0,P5,E1_A1,E1,76471,19380,19326,0,461,0,56548,82,42,12,588,54,0,0,0,0,0,0,1220,3604,14502,0,0,0,0,0,0,0,3395,1706,488,1706,3244,0.253429,0.244860,94279.726850,18348.933122,-0.150823,-0.241792,0.031245,-0.182068,-0.273036,-0.743557,-1.115070,-0.488190,-0.585756,-0.913596,-0.987998,-5.409351,False,3.209000
ALL__H10__S0__P5__E1_A10,ALL,10,S0,P5,E1_A10,E1,76471,14966,14949,0,461,0,60962,82,6,11,500,17,0,0,0,0,0,0,199,2764,11986,0,0,0,0,0,0,0,3395,1706,488,1706,3238,0.195708,0.222010,50195.864552,3580.732756,-0.187083,-0.322889,0.031245,-0.218327,-0.354134,-0.983415,-1.595130,-0.685519,-0.404021,-0.951572,-0.999047,-5.561270,False,2.718000
ALL__H10__S0__P5__E1_A11,ALL,10,S0,P5,E1_A11,E1,76471,17144,17062,0,461,0,58784,82,69,13,398,82,0,0,0,0,0,0,259,1457,15346,0,0,0,0,0,486,0,3395,1706,488,1706,3193,0.224190,0.353894,158786.496087,-51908.420461,-0.119617,-1.000000,0.031245,-0.150861,-1.031245,-0.426290,-2.913991,-0.474878,,-0.874970,-1.052409,-3.147221,False,2.072000
ALL__H10__S0__P5__E1_A12,ALL,10,S0,P5,E1_A12,E1,76471,16483,16420,0,461,0,59445,82,48,15,396,63,0,0,0,0,0,0,262,785,15373,0,0,0,0,0,0,0,3395,1706,488,1706,3197,0.215546,0.354371,119019.408699,45620.765961,-0.137013,-0.192444,0.031245,-0.168257,-0.223688,-0.474806,-0.631227,-0.423861,-0.463189,-0.900685,-0.966632,-3.550013,False,2.059000
ALL__H10__S0__P5__E1_A2,ALL,10,S0,P5,E1_A2,E1,76471,23185,23096,0,461,0,52743,82,75,14,470,89,0,0,0,0,0,0,1553,1918,19625,0,0,0,0,0,0,0,3395,1706,488,1706,3175,0.303187,0.397483,253091.195742,39336.037436,-0.090739,-0.200688,0.031245,-0.121984,-0.231933,-0.306891,-0.583504,-0.274252,-0.380187,-0.795073,-0.982527,-3.043980,False,2.441000
ALL__H10__S0__P5__E1_A3,ALL,10,S0,P5,E1_A3,E1,76471,23481,23388,0,461,0,52447,82,79,14,415,93,0,0,0,0,0,0,1549,877,20962,0,0,0,0,0,0,0,3395,1706,488,1706,3195,0.307058,0.386650,223109.761909,15539.078292,-0.098642,-0.250467,0.031245,-0.129886,-0.281711,-0.335927,-0.728595,-0.301013,0.078646,-0.811191,-0.998996,-2.769361,False,2.628000
ALL__H10__S0__P5__E1_A4,ALL,10,S0,P5,E1_A4,E1,76471,16953,16899,0,461,0,58975,82,42,12,506,54,0,0,0,0,0,0,594,3177,13128,0,0,0,0,0,0,0,3395,1706,488,1706,3236,0.221692,0.234924,68698.061663,32861.895967,-0.169230,-0.210578,0.031245,-0.200475,-0.241822,-0.853360,-1.029364,-0.572651,-0.600904,-0.935844,-0.971695,-5.624736,False,2.948000
ALL__H10__S0__P5__E1_A5,ALL,10,S0,P5,E1_A5,E1,76471,19205,19122,0,461,0,56723,82,69,14,444,83,0,0,0,0,0,0,679,1753,16690,0,0,0,0,0,219,0,3395,1706,488,1706,3202,0.251141,0.357661,128157.237411,-29922.388514,-0.132582,-1.000000,0.031245,-0.163827,-1.031245,-0.458050,-2.883299,-0.581844,,-0.895591,-1.027692,-4.507329,False,2.239000
ALL__H10__S0__P5__E1_A6,ALL,10,S0,P5,E1_A6,E1,76471,18491,18411,0,461,0,57437,82,67,13,420,80,0,0,0,0,0,0,632,808,16971,0,0,0,0,0,101,0,3395,1706,488,1706,3209,0.241804,0.342134,99369.917284,-15736.676462,-0.147726,-1.000000,0.031245,-0.178971,-1.031245,-0.523101,-3.014155,-0.556939,,-0.913587,-1.018594,-4.220192,False,2.211000
