slice,role,n_closed,win_rate,net_mean,net_median,cluster_t,win_year_share,date_conc
pool_ALL,info,17199,0.55427641,0.04375454,0.01599480,3.31042099,0.66666667,0.61678803
union_S4,control,1313,0.56968774,0.04005877,0.02699661,3.46130652,1.00000000,0.48687419
seed_S1,info,719,0.59248957,0.04794813,0.03596174,3.50825341,1.00000000,0.54133938
seed_S2,info,196,0.63265306,0.05142801,0.04845758,3.25906172,1.00000000,0.55437630
seed_S3,info,60,0.65000000,0.05382692,0.05127101,1.96959397,1.00000000,0.93874899
seed_S4,info,1313,0.56968774,0.04005877,0.02699661,3.46130652,1.00000000,0.48687419
seed_S5,info,135,0.62222222,0.04423309,0.04963126,2.27428555,1.00000000,0.79927312
AxS4_top30,primary,394,0.60913706,0.06530488,0.04519934,2.88895988,1.00000000,0.76814402
AxS4_top10,info,132,0.64393939,0.11463828,0.05941507,2.42069732,1.00000000,0.91614453
AxS4_top50,info,657,0.58143075,0.05464530,0.03273023,3.20831638,1.00000000,0.67784847
Axpool_top5,info,860,0.80000000,0.19480499,0.18592336,3.51542680,1.00000000,1.01851348
Axpool_top10,info,1720,0.72790698,0.15589307,0.13887303,2.47506445,0.66666667,1.04237082
BxS4_top10,info,132,0.68939394,0.07566814,0.07934106,2.96927995,1.00000000,1.03871508
BxS4_top30,info,394,0.62436548,0.05766595,0.05339903,3.66724806,1.00000000,0.67348987
BxS4_top50,info,657,0.59969559,0.06585755,0.04883964,4.42667368,1.00000000,0.48983673
