cell_id,pool,H,sel,pos,exit,family,total_signals,entered,n_trades,dropped_slot_full,dropped_limitup,dropped_no_quote,dropped_cash,truncated_no_next,truncated_window,truncated_exhausted,deferred_exits,open_at_end,vol_fallback_mid,p3_atr_fallback,p4_atr_fallback,e4_lot_skip,e7_atr_missing,exits_E0,exits_tp,exits_sl,exits_horizon,exits_trail_tp,exits_scale_out,exits_breakeven_sl,exits_time_stop,exits_chandelier_sl,neg_equity_idx_days,neg_equity_cash_days,signal_days,signal_days_burst,signal_max,p5_days_diluted,p5_days_cashbound,p6_days_diluted,p6_days_cashbound,coverage,capital_utilization,final_equity_cash,final_equity_idx,annualized_cash,annualized_idx,bench_annualized,excess_cash,excess_idx,per_cash,per_idx,sharpe_cash,sharpe_idx,maxdd_cash,maxdd_idx,cluster_t,passed,runtime_sec
ALL__H60__S0__P5__E0,ALL,60,S0,P5,E0,E0,76471,11834,11568,0,461,0,64094,82,213,53,199,266,0,0,0,0,0,11568,0,0,0,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3341.000000,,,0.154751,0.948826,677126.830727,762338.266225,-0.026632,-0.018611,0.031245,-0.057876,-0.049856,-0.060998,-0.052545,-0.007272,0.033119,-0.806773,-0.800106,1.606513,False,9.758000
ALL__H60__S0__P5__E1_A1,ALL,60,S0,P5,E1_A1,E1,76471,23924,23616,0,461,0,52004,82,291,17,1545,308,0,0,0,0,0,0,7091,12210,4315,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3297.000000,,,0.312851,0.649998,480359.075520,377162.401746,-0.049495,-0.065277,0.031245,-0.080739,-0.096522,-0.124214,-0.148496,-0.167252,-0.185381,-0.700147,-0.813011,-0.988102,False,9.328000
ALL__H60__S0__P5__E1_A10,ALL,60,S0,P5,E1_A10,E1,76471,17392,17135,0,461,0,58536,82,237,20,1328,257,0,0,0,0,0,0,2575,9413,5147,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3338.000000,,,0.227433,0.508833,319118.460536,274529.756102,-0.076029,-0.085607,0.031245,-0.107274,-0.116851,-0.210823,-0.229645,-0.289577,-0.276644,-0.791351,-0.847968,-0.369835,False,5.801000
ALL__H60__S0__P5__E1_A11,ALL,60,S0,P5,E1_A11,E1,76471,17718,17376,0,461,0,58210,82,322,20,1201,342,0,0,0,0,0,0,2842,7137,7397,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3343.000000,,,0.231696,0.604172,452462.169024,360424.372018,-0.053424,-0.068210,0.031245,-0.084668,-0.099455,-0.140139,-0.164614,-0.157785,-0.182843,-0.769263,-0.831919,0.139015,False,6.955000
ALL__H60__S0__P5__E1_A12,ALL,60,S0,P5,E1_A12,E1,76471,15901,15589,0,461,0,60027,82,288,24,968,312,0,0,0,0,0,0,2562,4754,8273,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3347.000000,,,0.207935,0.567605,370620.506096,228346.223381,-0.066409,-0.097193,0.031245,-0.097654,-0.128437,-0.172045,-0.226280,-0.221982,-0.308319,-0.788927,-0.870881,-0.486601,False,7.053000
ALL__H60__S0__P5__E1_A2,ALL,60,S0,P5,E1_A2,E1,76471,23903,23501,0,461,0,52025,82,382,20,1362,402,0,0,0,0,0,0,7900,8963,6638,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3309.000000,,,0.312576,0.767415,635298.290535,513432.964199,-0.030919,-0.045103,0.031245,-0.062164,-0.076347,-0.081004,-0.099487,-0.059331,-0.088472,-0.703822,-0.802506,0.232864,False,8.101000
ALL__H60__S0__P5__E1_A3,ALL,60,S0,P5,E1_A3,E1,76471,24191,23688,0,461,0,51737,82,479,24,1205,503,0,0,0,0,0,0,8423,6565,8700,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3312.000000,,,0.316342,0.825235,719555.435245,528280.615289,-0.022528,-0.043216,0.031245,-0.053772,-0.074461,-0.065160,-0.090230,-0.012519,-0.075043,-0.671120,-0.789991,0.930575,False,8.828000
ALL__H60__S0__P5__E1_A4,ALL,60,S0,P5,E1_A4,E1,76471,22069,21732,0,461,0,53859,82,318,19,1430,337,0,0,0,0,0,0,5196,11549,4987,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3307.000000,,,0.288593,0.652689,471848.911866,337892.319154,-0.050670,-0.072365,0.031245,-0.081915,-0.103610,-0.125503,-0.158743,-0.163071,-0.207223,-0.727134,-0.841316,-0.144229,False,6.732000
ALL__H60__S0__P5__E1_A5,ALL,60,S0,P5,E1_A5,E1,76471,22425,21992,0,461,0,53503,82,409,24,1334,433,0,0,0,0,0,0,5849,8672,7471,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3319.000000,,,0.293248,0.780413,693528.057193,566074.690499,-0.025018,-0.038628,0.031245,-0.056262,-0.069873,-0.072093,-0.089533,-0.027489,-0.060723,-0.692464,-0.783255,0.819499,False,7.966000
ALL__H60__S0__P5__E1_A6,ALL,60,S0,P5,E1_A6,E1,76471,21183,20723,0,461,0,54745,82,434,26,1161,460,0,0,0,0,0,0,5686,6005,9032,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3329.000000,,,0.277007,0.715186,596466.492840,452124.976376,-0.035141,-0.053472,0.031245,-0.066386,-0.084717,-0.092823,-0.118454,-0.069978,-0.119360,-0.694647,-0.789243,0.695436,False,8.619000
