feature,cn_name,importance,rank,kept
market_avg_amplitude_rankpct,市场综合状态avg_amplitude｜当日横截面百分位,0.014592994271438708,0,True
cs_n,当日横截面样本数,0.01069689494860353,1,True
MKT_VOL20_PCT,"市场状态｜pct_ts(Std(R_idx,20),250)",0.008009596658386294,2,True
day_of_year,年内日序,0.007417012200250906,3,True
STYLE_SIZE_RS60,大小盘风格六十日相对强弱,0.005587868200794426,4,True
MKT_TURNOVER_PCTL,全市场换手率七百五十日滚动分位（成交额加权）,0.005463955547990628,5,True
week_of_year,年内周序,0.005124929456338473,6,True
MKT_AMT_PCT,市场情绪｜全市场 amount 加总 20 日均值的 250 日时序分位,0.005112330262120596,7,True
LIMITUP_N_MKT_MA20,市场情绪｜LIMITUP_N_MKT 的 20 日均值,0.0036802633171876885,8,True
STYLE_GV_RS60,成长价值风格六十日相对强弱,0.003263626503076824,9,True
MKT_TURNOVER_PCTL_EQW,全市场换手率七百五十日滚动分位（等权对照）,0.0018557826510863197,10,True
Q20_RETON_30,"Quant(O/PC-1,30,0.2)",0.0013593660982920285,11,True
MKT_DD120,"市场状态｜C_idx/Max(H_idx,120)-1",0.0013074739457437806,12,True
DELTA_OPEN_60,"Delta(Õ,60)/C̃",0.0011786204212317012,13,True
ILLIQ20,"流动性｜log(Mean(abs(R)/(A*1000), 20) + 1e-30)",0.001157988268731685,14,True
quarter,季度,0.0010868445400123734,15,True
DIST_52W_HIGH,"位置｜C~/Max(H~,250)-1",0.001041330150900596,16,True
REF_OPEN_60,"Ref(Õ,60)/C̃",0.0010375056085067242,17,True
MKT_MA60,"市场状态｜C_idx/Mean(C_idx,60)-1",0.0009442633247118618,18,True
DELTA_HIGH_60,"Delta(H̃,60)/C̃",0.0008319466351520187,19,True
MKT_MEDIAN_RET20,市场宽度｜universe 内 RET20 中位数 (自算),0.0007929380582597153,20,True
rsi_oversold_24_rankpct,相对强弱指标oversold_24｜当日横截面百分位,0.0007892464897033329,21,True
bb_lower,布林带lower,0.0006985304970821741,22,True
MAX_OPEN_60,"Max(Õ,60)/C̃",0.0006488223811163574,23,True
DV_TTM,股息率滚动十二个月值,0.0006301558639981583,24,True
MKT_DOWNLIMIT_Z,市场跌停家数滚动标准化恐慌度,0.0006175612023160574,25,True
LOG_PRICE,"价格水平｜ln(C) (原始价, 除权失真标注: 仅作彩票/退市代理)",0.0005844243077753355,26,True
anchor_close,"锚点收盘价(区间(i1,j]最低收盘价)",0.0004997214008318395,27,True
COV_R_RIDX_20,"Cov(pct_chg/100,R_idx(000001.SH),20)",0.00047988088956240824,28,True
MKT_NH_NL_DIFF,市场二百五十日新高新低家数差占比,0.0004651642447798729,29,True
MKT_LIMITUP_PREM_MA5,昨日涨停股当日平均溢价五日均值,0.00044332677750273067,30,True
LIMITUP_N_MKT,"市场情绪｜全市场涨停家数 (pct_chg>=limit-0.1, 自算)",0.0004173030713661284,31,True
COV_R_RIDX_10,"Cov(pct_chg/100,R_idx(000001.SH),10)",0.00040955690534331024,32,True
REGIME_CODE,"市场状态｜全样本等权日收益累积指数 120 日滚动收益 -> unknown/sideways/up/down = -1/0/1/2 (divergence_lab build_market_regime 口径, universe 剔除 2 只指数文件)",0.00038700252790953353,33,True
event_amount,事件日成交额,0.000384188162620915,34,True
Q80_CF_20,"Quant(CF,20,0.8)/C̃",0.00038414125232376703,35,True
atr,平均真实波幅,0.00036978689475895105,36,True
RET120_20,"动量｜shift(CF,20)/shift(CF,240)-1 (剔除近 1 月的中期动量)",0.00034578018650565403,37,True
CAL_HOLIDAY,"日历｜春节/国庆前 10 个工作日、后 5 个工作日 dummy (静态节假日表+工作日近似, 截断不变)",0.0003407960917879302,38,True
rsi_oversold_6_rankpct,相对强弱指标oversold_6｜当日横截面百分位,0.00033902225491285343,39,True
macd_golden_cross_rankpct,指数平滑异同移动平均线_golden_cross｜当日横截面百分位,0.0003305615102899104,40,True
REF_HIGH_60,"Ref(H̃,60)/C̃",0.0003253262095605012,41,True
BREADTH_ADV5,市场宽度｜universe 内 RET5>0 占比 (自算),0.00032199740761725237,42,True
high_mean_20,20日高点均值,0.00031712723011043337,43,True
close_lag_15,收盘价｜滞后15日,0.00031698014598104476,44,True
AMT20,"流动性｜log(Mean(A,20))",0.00031447724284712177,45,True
REF_LOW_60,"Ref(L̃,60)/C̃",0.0002732336087791646,46,True
amihud_illiq_intraday_z,Amihud非流动性(日内)_illiq_intraday｜当日横截面稳健标准化,0.0002674642831363661,47,True
AMIHUD_TURN20,换手口径 Amihud 非流动性二十日均值,0.0002592044159616449,48,True
macd_golden_cross_z,指数平滑异同移动平均线_golden_cross｜当日横截面稳健标准化,0.0002588748175625992,49,True
rsi_oversold_14_rankpct,相对强弱指标oversold_14｜当日横截面百分位,0.0002538488476507491,50,True
ma_60_rankpct,移动均线60｜当日横截面百分位,0.0002486336221098486,51,True
stoch_oversold_rankpct,随机指标状态oversold｜当日横截面百分位,0.0002307673694224887,52,True
DEA_LIFT_CLOSE_NORM,金叉DEA抬升幅度收盘价归一,0.00022785107890848814,53,True
COV_R_RIDX_60,"Cov(pct_chg/100,R_idx(000001.SH),60)",0.00022361218192181492,54,True
MKT_SZ_AMPLITUDE,市场状态｜深证成指 (H-L)/L,0.00022128358889655442,55,True
ma_arrangement_rankpct,均线排列｜当日横截面百分位,0.00021785854052994765,56,True
rsi_overbought_24_rankpct,相对强弱指标overbought_24｜当日横截面百分位,0.0002150209897703464,57,True
macd_signal_rankpct,指数平滑异同移动平均线信号线｜当日横截面百分位,0.00020578945031611375,58,True
STD_RETID_60,"Std(C/O-1,60)",0.00018152596248608788,59,True
VOL_CONTRACTION60,"波动率｜ATRp/shift(ATRp,60)",0.000172947077924882,60,True
DIF_PREV_CLOSE_NORM,前金叉DIF收盘价归一水平,0.00016841319384337773,61,True
amihud_illiq_intraday_rankpct,Amihud非流动性(日内)_illiq_intraday｜当日横截面百分位,0.0001672959266025684,62,True
high_mean_20_z,20日高点均值｜当日横截面稳健标准化,0.00016146349830224084,63,True
LN_FREE_MV,自由流通市值对数,0.0001596497188952761,64,True
close_lag_30,收盘价｜滞后30日,0.00015856050174985304,65,True
MKT_NH_NL_RATIO,市场二百五十日新高占新高新低家数比,0.00015133518939921037,66,True
ST_STATUS,风险警示状态（3=退市整理期 2=*ST 1=ST 0=正常）,0.00014159267756324025,67,True
macd_zero_cross_rankpct,指数平滑异同移动平均线_zero_cross｜当日横截面百分位,0.00013733532289797129,68,True
COV_CLOSE_LOGV_30,"Cov(C̃,log(V+1),30)",0.00013665297679893722,69,True
