feature,cn_name,representative,is_representative,corr_with_rep,rank
market_avg_amplitude_rankpct,市场综合状态avg_amplitude｜当日横截面百分位,market_avg_amplitude_rankpct,True,1.0,0
MKT_VOL20_PCT,"市场状态｜pct_ts(Std(R_idx,20),250)",MKT_VOL20_PCT,True,1.0,2
STYLE_SIZE_RS60,大小盘风格六十日相对强弱,STYLE_SIZE_RS60,True,1.0,4
MKT_TURNOVER_PCTL,全市场换手率七百五十日滚动分位（成交额加权）,MKT_TURNOVER_PCTL,True,1.0,5
LIMITUP_N_MKT_MA20,市场情绪｜LIMITUP_N_MKT 的 20 日均值,LIMITUP_N_MKT_MA20,True,1.0,8
MKT_TURNOVER_PCTL_EQW,全市场换手率七百五十日滚动分位（等权对照）,MKT_TURNOVER_PCTL,False,0.9222924275694632,10
Q20_RETON_30,"Quant(O/PC-1,30,0.2)",Q20_RETON_30,True,1.0,11
DELTA_OPEN_60,"Delta(Õ,60)/C̃",DELTA_OPEN_60,True,1.0,13
ILLIQ20,"流动性｜log(Mean(abs(R)/(A*1000), 20) + 1e-30)",ILLIQ20,True,1.0,14
DIST_52W_HIGH,"位置｜C~/Max(H~,250)-1",DIST_52W_HIGH,True,1.0,16
REF_OPEN_60,"Ref(Õ,60)/C̃",DELTA_OPEN_60,False,-0.9951097248341022,17
DELTA_HIGH_60,"Delta(H̃,60)/C̃",DELTA_OPEN_60,False,0.9907628780536126,19
MKT_MEDIAN_RET20,市场宽度｜universe 内 RET20 中位数 (自算),MKT_MEDIAN_RET20,True,1.0,20
bb_lower,布林带lower,bb_lower,True,1.0,22
MAX_OPEN_60,"Max(Õ,60)/C̃",MAX_OPEN_60,True,1.0,23
DV_TTM,股息率滚动十二个月值,DV_TTM,True,1.0,24
LOG_PRICE,"价格水平｜ln(C) (原始价, 除权失真标注: 仅作彩票/退市代理)",LOG_PRICE,True,1.0,26
anchor_close,"锚点收盘价(区间(i1,j]最低收盘价)",bb_lower,False,0.9971666277853203,27
COV_R_RIDX_20,"Cov(pct_chg/100,R_idx(000001.SH),20)",COV_R_RIDX_20,True,1.0,28
MKT_NH_NL_DIFF,市场二百五十日新高新低家数差占比,MKT_NH_NL_DIFF,True,1.0,29
MKT_LIMITUP_PREM_MA5,昨日涨停股当日平均溢价五日均值,MKT_LIMITUP_PREM_MA5,True,1.0,30
COV_R_RIDX_10,"Cov(pct_chg/100,R_idx(000001.SH),10)",COV_R_RIDX_10,True,1.0,32
event_amount,事件日成交额,event_amount,True,1.0,34
Q80_CF_20,"Quant(CF,20,0.8)/C̃",Q80_CF_20,True,1.0,35
atr,平均真实波幅,bb_lower,False,0.9283428362422481,36
CAL_HOLIDAY,"日历｜春节/国庆前 10 个工作日、后 5 个工作日 dummy (静态节假日表+工作日近似, 截断不变)",CAL_HOLIDAY,True,1.0,38
rsi_oversold_6_rankpct,相对强弱指标oversold_6｜当日横截面百分位,rsi_oversold_6_rankpct,True,1.0,39
