k,final_num_boost_round,best_iters,val_top5_net_dayavg,val_top5_net_cluster_t,val_top5_hit_eventavg,train_oof_top5_net_dayavg,train_oof_top5_net_cluster_t,train_oof_top5_hit_eventavg
5,20,"17,6,2,72,3",0.0014126421792302942,0.3431984004449318,0.4307328605200946,0.01457570394541814,2.995274693103975,0.45384545701603407
10,28,"24,4,12,92,6",0.017732336714284373,3.4327606903785797,0.4453900709219858,0.02080474389444167,4.547828622312251,0.46217954524866384
15,34,"88,9,14,53,8",0.0105759733106239,2.1000840855096894,0.42458628841607565,0.020227964080174746,4.429683325791538,0.45683485822991216
20,31,"51,12,13,70,10",0.01679077903669518,3.209220674287739,0.4271867612293144,0.0231556118693981,5.2022792626082035,0.46335718815110066
25,48,"50,1,129,57,4",0.0070126866812724314,1.4622656229792275,0.4231678486997636,0.022732666474743413,5.169695393052018,0.46471600688468157
30,18,"20,6,9,47,7",0.012995396558631307,2.5932446037843535,0.4380614657210402,0.020622854522948084,4.5440870120636765,0.46172660567080354
40,11,"3,11,5,32,5",0.011429727686025112,2.5003935987622237,0.4356973995271868,0.02043795255908433,4.40458015148923,0.4615454298396594
50,16,"11,7,7,52,4",0.011262340112526595,2.256701287997535,0.43829787234042555,0.02040421002578727,4.417576815457874,0.4584654407102093
75,13,"4,7,9,36,8",0.017691044195947747,3.5506746590139406,0.440661938534279,0.020554781953181837,4.452715589459801,0.45973367152821815
100,15,"1,10,7,52,7",0.016344106511481254,3.4476231953636898,0.44633569739952716,0.02086561329362113,4.488975729117199,0.4580125011323489
144,15,"2,7,9,45,13",0.016131860830110575,3.3724755797671455,0.4465721040189125,0.020431051400461336,4.438028871258781,0.45973367152821815
