predict_date,total,cash,positions_value
2026-03-20,99817.0,0.0,90817.0
2026-03-23,90121.0,90121.0,0.0
2026-03-24,90121.0,90121.0,0.0
2026-03-25,90121.0,90121.0,0.0
2026-03-25,90121.0,60762.0,29359.0
2026-03-25,90121.0,34241.0,55880.0
2026-03-26,90138.0,34241.0,55897.0
2026-03-26,90121.0,6883.299999999999,83237.7
2026-03-27,88560.3,6883.299999999999,81677.0
2026-03-30,90997.3,6883.299999999999,84114.0
2026-03-31,90479.3,6883.299999999999,83596.0
2026-04-01,88317.3,6883.299999999999,81434.0
2026-04-02,90512.3,6883.299999999999,83629.0
2026-04-03,89076.3,6883.299999999999,82193.0
