name,method,price,order,pct,min_sep,indicator,min_change,below_zero,min_decline,lookback,volume_confirm,multi,entry,regime_filter,ma200_filter,sample,n_events,n_event_stocks,freq_per_stock_year,elapsed_s,r5_e_win,r5_e_exc1,r5_e_pmw1,r5_v_win,r5_v_exc1,r5_v_pmw1,r10_e_win,r10_e_exc1,r10_e_pmw1,r10_v_win,r10_v_exc1,r10_v_pmw1,r30_e_win,r30_e_exc1,r30_e_pmw1,r30_v_win,r30_v_exc1,r30_v_pmw1,dyn_e_win,dyn_e_exc1,dyn_e_pmw1,dyn_v_win,dyn_v_exc1,dyn_v_pmw1,hit_e_win,hit_e_exc1,hit_e_pmw1,hit_v_win,hit_v_exc1,hit_v_pmw1,mfe_e_win,mfe_e_exc1,mfe_e_pmw1,mfe_v_win,mfe_v_exc1,mfe_v_pmw1
smoke_fractal_o10,fractal,close,10,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,200,8295,200,1.7005,0.7,0.5159,0.0049,0.0,0.4443,-0.0022,0.2373,0.5264,0.0062,0.0,0.4917,0.0048,0.1271,0.4749,-0.0069,0.3129,0.5047,0.0121,0.0222,0.4926,-0.003,0.617,0.5036,0.0164,0.0072,0.5485,0.0585,0.0,0.5386,0.0307,0.072,0.9499,0.0009,0.0054,0.9491,-0.0049,0.0143
smoke_zigzag_5pct,zigzag,close,10,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,200,10324,200,2.1164,0.9,0.4978,0.0044,0.0261,0.5109,0.0078,0.0357,0.5272,0.0055,0.0,0.5224,0.0062,0.0109,0.5047,0.0069,0.0001,0.5095,0.0117,0.0557,0.5105,-0.0006,0.0161,0.5114,0.0121,0.0147,0.534,0.0308,0.0001,0.5519,0.0463,0.0029,0.9432,0.0108,0.0,0.9443,0.0105,0.0004
smoke_legacy_v1,legacy,close,10,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,200,65521,200,13.4317,2.0,0.5163,-0.0008,0.0117,0.4964,-0.0001,0.0163,0.4984,-0.0043,0.014,0.4936,-0.0008,0.1228,0.4793,-0.0121,0.0,0.4998,0.0003,0.0,0.5099,-0.0026,0.9327,0.4951,0.0001,0.0184,,,,,,,0.9449,-0.0065,0.0,0.9562,-0.0071,0.0
d_frac_dyn_c05,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,10.1,0.5159,0.0029,0.0,0.4437,-0.0043,0.0,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,0.5116,0.0024,0.0,0.4979,0.0044,0.0,,,,,,,,,,,,
d_frac_dyn_c10,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,10.1,0.5159,0.0029,0.0,0.4437,-0.0043,0.0,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,0.4939,-0.0011,0.0002,0.5028,0.0108,0.0,,,,,,,,,,,,
d_frac_dyn_c20,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,10.0,0.5159,0.0029,0.0,0.4437,-0.0043,0.0,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,0.4772,-0.0034,0.8998,0.4924,0.0137,0.0,,,,,,,,,,,,
d_frac_sniper,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,14.3,,,,,,,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,,,,,,,0.5013,0.0352,0.0,0.4486,-0.0051,0.0858,0.9542,0.0007,0.0019,0.953,-0.0087,0.0
w_fractal_o10_s5,fractal,close,10,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,11.0,0.5159,0.0029,0.0,0.4437,-0.0043,0.0,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,,,,,,,0.5468,0.0452,0.0,0.5239,0.03,0.0,,,,,,
d_zz_dyn_c05,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,154835,5794,2.0744,10.3,0.4926,0.0019,0.5981,0.5176,0.0103,0.0,0.5181,0.0026,0.0,0.5278,0.0073,0.0,0.5128,0.0096,0.0,0.5129,0.0153,0.0,0.516,0.0032,0.0,0.5237,0.0115,0.0,,,,,,,,,,,,
d_zz_dyn_c10,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,154835,5794,2.0744,10.3,0.4926,0.0019,0.5981,0.5176,0.0103,0.0,0.5181,0.0026,0.0,0.5278,0.0073,0.0,0.5128,0.0096,0.0,0.5129,0.0153,0.0,0.5052,0.0013,0.0,0.516,0.0157,0.0,,,,,,,,,,,,
d_zz_dyn_c20,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,154835,5794,2.0744,10.2,0.4926,0.0019,0.5981,0.5176,0.0103,0.0,0.5181,0.0026,0.0,0.5278,0.0073,0.0,0.5128,0.0096,0.0,0.5129,0.0153,0.0,0.4937,0.0025,0.0,0.5162,0.0213,0.0,,,,,,,,,,,,
w_fractal_o10_s10,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,10.7,0.5159,0.0029,0.0,0.4437,-0.0043,0.0,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,,,,,,,0.5468,0.0452,0.0,0.5239,0.03,0.0,,,,,,
d_zz_sniper,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,154835,5794,2.0744,15.8,,,,,,,0.5181,0.0026,0.0,0.5278,0.0073,0.0,0.5128,0.0096,0.0,0.5129,0.0153,0.0,,,,,,,0.4812,0.0123,0.0,0.5045,0.0506,0.0,0.9434,0.0056,0.0,0.9557,0.0115,0.0
w_fractal_o10_s20,fractal,close,10,0.05,20,dif,0.001,False,0.0,2,False,1,close_T,all,,0,115069,5751,1.5416,9.2,0.5158,0.0026,0.0,0.4358,-0.0049,0.0,0.5208,0.0063,0.0,0.5009,0.0013,0.0,0.5015,0.0036,0.0,0.4999,0.0088,0.0,,,,,,,0.5501,0.0455,0.0,0.5208,0.026,0.0,,,,,,
w_fractal_o15_s10,fractal,close,15,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,106559,5745,1.4276,9.5,0.5295,0.0055,0.0,0.54,0.0072,0.0,0.5474,0.011,0.0,0.5375,0.0143,0.0,0.4888,-0.0024,0.0548,0.5027,0.0119,0.0,,,,,,,0.5668,0.065,0.0,0.5513,0.0591,0.0,,,,,,
w_fractal_o15_s20,fractal,close,15,0.05,20,dif,0.001,False,0.0,2,False,1,close_T,all,,0,101956,5738,1.3659,10.5,0.5335,0.0059,0.0,0.5394,0.0071,0.0,0.5476,0.0112,0.0,0.5328,0.0138,0.0,0.4904,-0.0018,0.01,0.4978,0.0105,0.0,,,,,,,0.5693,0.0673,0.0,0.5475,0.0551,0.0,,,,,,
w_fractal_o15_s5,fractal,close,15,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,0,106559,5745,1.4276,11.0,0.5295,0.0055,0.0,0.54,0.0072,0.0,0.5474,0.011,0.0,0.5375,0.0143,0.0,0.4888,-0.0024,0.0548,0.5027,0.0119,0.0,,,,,,,0.5668,0.065,0.0,0.5513,0.0591,0.0,,,,,,
w_fractal_o20_s10,fractal,close,20,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,89948,5719,1.2051,9.4,0.5257,0.0048,0.0,0.4925,0.0064,0.0,0.4904,-0.0009,0.1271,0.4873,0.0027,0.0003,0.4583,-0.0129,0.0,0.4633,0.0021,0.4488,,,,,,,0.5287,0.0242,0.0,0.5106,0.0166,0.0,,,,,,
w_fractal_o20_s20,fractal,close,20,0.05,20,dif,0.001,False,0.0,2,False,1,close_T,all,,0,89948,5719,1.2051,9.8,0.5257,0.0048,0.0,0.4925,0.0064,0.0,0.4904,-0.0009,0.1271,0.4873,0.0027,0.0003,0.4583,-0.0129,0.0,0.4633,0.0021,0.4488,,,,,,,0.5287,0.0242,0.0,0.5106,0.0166,0.0,,,,,,
w_fractal_o20_s5,fractal,close,20,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,0,89948,5719,1.2051,10.4,0.5257,0.0048,0.0,0.4925,0.0064,0.0,0.4904,-0.0009,0.1271,0.4873,0.0027,0.0003,0.4583,-0.0129,0.0,0.4633,0.0021,0.4488,,,,,,,0.5287,0.0242,0.0,0.5106,0.0166,0.0,,,,,,
w_fractal_o3_s10,fractal,close,3,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,205099,5821,2.7478,15.9,0.5017,0.001,0.0943,0.5103,0.0044,0.0,0.5062,-0.0013,0.9407,0.5206,0.0065,0.0,0.487,-0.0034,0.7002,0.5135,0.0106,0.0,,,,,,,0.5109,0.0069,0.0007,0.5352,0.0413,0.0,,,,,,
w_fractal_o3_s20,fractal,close,3,0.05,20,dif,0.001,False,0.0,2,False,1,close_T,all,,0,157877,5804,2.1151,11.5,0.5035,0.001,0.105,0.4892,0.001,0.0,0.5071,-0.0004,0.2233,0.4948,0.0008,0.0,0.4832,-0.0042,0.139,0.4998,0.0069,0.0,,,,,,,0.5152,0.0121,0.0,0.524,0.0299,0.0,,,,,,
w_fractal_o3_s5,fractal,close,3,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,0,269307,5837,3.608,18.5,0.5117,0.0022,0.0,0.5073,0.0035,0.0,0.5117,-0.0001,0.0014,0.5119,0.0041,0.0,0.4914,-0.0019,0.1007,0.5056,0.0073,0.0,,,,,,,0.5108,0.0064,0.0003,0.5249,0.0299,0.0,,,,,,
w_fractal_o5_s10,fractal,close,5,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,181047,5807,2.4256,13.2,0.4718,-0.005,0.0,0.4771,0.001,0.8517,0.4857,-0.0066,0.0,0.4765,-0.0023,0.0157,0.4795,-0.0089,0.0,0.4955,0.0075,0.0,,,,,,,0.5,-0.0048,0.0256,0.5184,0.0216,0.0,,,,,,
w_fractal_o5_s20,fractal,close,5,0.05,20,dif,0.001,False,0.0,2,False,1,close_T,all,,0,143296,5795,1.9198,11.1,0.4642,-0.0053,0.0,0.4567,-0.002,0.0,0.4818,-0.0068,0.0,0.4571,-0.0056,0.0,0.4775,-0.0074,0.0,0.4875,0.0044,0.0,,,,,,,0.4992,-0.0041,0.095,0.5072,0.0116,0.0001,,,,,,
w_fractal_o5_s5,fractal,close,5,0.05,5,dif,0.001,False,0.0,2,False,1,close_T,all,,0,205253,5811,2.7499,14.5,0.4739,-0.0043,0.0,0.4729,0.0001,0.083,0.4918,-0.0048,0.0,0.4735,-0.0026,0.0001,0.4809,-0.0072,0.0,0.4885,0.0045,0.0,,,,,,,0.5015,-0.0047,0.0211,0.513,0.0186,0.0,,,,,,
w_zigzag_p03_s10,zigzag,close,10,0.03,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,189557,5814,2.5396,12.9,0.5104,0.0032,0.0,0.5257,0.0085,0.0,0.5112,0.0011,0.0,0.5279,0.008,0.0,0.5004,0.003,0.0,0.5176,0.0149,0.0,,,,,,,0.5218,0.0184,0.0,0.5504,0.0559,0.0,,,,,,
w_zigzag_p03_s20,zigzag,close,10,0.03,20,dif,0.001,False,0.0,2,False,1,close_T,all,,0,148616,5799,1.9911,10.9,0.5103,0.0032,0.0,0.5037,0.0039,0.0,0.5124,0.0018,0.0,0.4937,0.0002,0.0016,0.4961,0.0043,0.0,0.5023,0.0076,0.0,,,,,,,0.5236,0.0208,0.0,0.5343,0.0388,0.0,,,,,,
w_zigzag_p03_s5,zigzag,close,10,0.03,5,dif,0.001,False,0.0,2,False,1,close_T,all,,0,232395,5833,3.1135,15.0,0.5212,0.0048,0.0,0.5141,0.0066,0.0,0.5194,0.0027,0.0,0.5131,0.0047,0.0,0.5036,0.005,0.0,0.5052,0.0093,0.0,,,,,,,0.5213,0.0157,0.0,0.5354,0.0387,0.0,,,,,,
