name,method,price,order,pct,min_sep,indicator,min_change,below_zero,min_decline,lookback,volume_confirm,multi,entry,regime_filter,ma200_filter,sample,n_events,n_event_stocks,freq_per_stock_year,elapsed_s,r5_e_win,r5_e_exc1,r5_e_pmw1,r5_v_win,r5_v_exc1,r5_v_pmw1,r10_e_win,r10_e_exc1,r10_e_pmw1,r10_v_win,r10_v_exc1,r10_v_pmw1,r30_e_win,r30_e_exc1,r30_e_pmw1,r30_v_win,r30_v_exc1,r30_v_pmw1,dyn_e_win,dyn_e_exc1,dyn_e_pmw1,dyn_v_win,dyn_v_exc1,dyn_v_pmw1,hit_e_win,hit_e_exc1,hit_e_pmw1,hit_v_win,hit_v_exc1,hit_v_pmw1,mfe_e_win,mfe_e_exc1,mfe_e_pmw1,mfe_v_win,mfe_v_exc1,mfe_v_pmw1
c_f_base,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,135776,5768,1.819,12.4,0.5159,0.0029,0.0,0.4437,-0.0043,0.0,0.52,0.0054,0.0,0.4993,0.0011,0.0,0.495,0.0007,0.0,0.4997,0.0082,0.0,,,,,,,0.5468,0.0452,0.0,0.5239,0.03,0.0,,,,,,
c_f_hist,fractal,close,10,0.05,10,hist,0.001,False,0.0,2,False,1,close_T,all,,0,198738,5811,2.6626,16.4,0.5103,0.0012,0.0,0.4667,-0.0026,0.0,0.525,0.003,0.0,0.5038,0.0009,0.0,0.5045,0.0014,0.0,0.5077,0.0076,0.0,,,,,,,0.5429,0.0374,0.0,0.5297,0.0334,0.0,,,,,,
c_f_bz,fractal,close,10,0.05,10,dif,0.001,True,0.0,2,False,1,close_T,all,,0,122470,5762,1.6408,12.0,0.5203,0.0033,0.0,0.447,-0.0045,0.0,0.5237,0.0062,0.0,0.5028,0.0012,0.0,0.5003,0.0015,0.0,0.5041,0.0095,0.0,,,,,,,0.5508,0.0485,0.0,0.5257,0.0291,0.0,,,,,,
c_f_md03,fractal,close,10,0.05,10,dif,0.001,False,0.03,2,False,1,close_T,all,,0,100336,5743,1.3442,10.5,0.5217,0.0036,0.0,0.4392,-0.0047,0.0,0.5255,0.0076,0.0,0.4994,0.0012,0.0,0.4999,0.0021,0.0,0.5013,0.0092,0.0,,,,,,,0.5501,0.0456,0.0,0.5213,0.026,0.0,,,,,,
c_f_md05,fractal,close,10,0.05,10,dif,0.001,False,0.05,2,False,1,close_T,all,,0,82428,5717,1.1043,9.5,0.524,0.0041,0.0,0.4383,-0.0051,0.0,0.529,0.0085,0.0,0.4965,0.0011,0.0,0.5038,0.0035,0.0,0.5015,0.0111,0.0,,,,,,,0.554,0.0498,0.0,0.5213,0.0274,0.0,,,,,,
c_f_md08,fractal,close,10,0.05,10,dif,0.001,False,0.08,2,False,1,close_T,all,,0,61598,5649,0.8253,7.9,0.527,0.005,0.0,0.4375,-0.005,0.0,0.5353,0.0113,0.0,0.493,0.0009,0.0295,0.5096,0.0072,0.0,0.499,0.0118,0.0,,,,,,,0.5576,0.054,0.0,0.5204,0.0228,0.0,,,,,,
c_f_vol,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,True,1,close_T,all,,0,77427,5715,1.0373,8.3,0.5112,0.0023,0.0,0.4451,-0.004,0.0,0.5177,0.0049,0.0,0.4986,0.0009,0.0013,0.4973,0.0011,0.0007,0.5174,0.0169,0.0,,,,,,,0.5548,0.0517,0.0,0.5453,0.0482,0.0,,,,,,
c_f_m3,fractal,close,10,0.05,10,dif,0.001,False,0.0,2,False,3,close_T,all,,0,13981,4522,0.1873,5.8,0.5075,0.0003,0.5269,0.4214,-0.0066,0.0,0.507,0.0048,0.0329,0.5237,0.0066,0.0,0.4998,-0.0004,0.1103,0.5568,0.0417,0.0,,,,,,,0.5556,0.0546,0.0,0.5708,0.0856,0.0,,,,,,
c_f_lb3,fractal,close,10,0.05,10,dif,0.001,False,0.0,3,False,1,close_T,all,,0,184019,5771,2.4654,14.4,0.5172,0.0026,0.0,0.4462,-0.0041,0.0,0.5193,0.0045,0.0,0.4976,0.0008,0.0,0.4932,-0.001,0.0007,0.4913,0.0058,0.0,,,,,,,0.5452,0.0405,0.0,0.5191,0.0237,0.0,,,,,,
c_z_base,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,False,1,close_T,all,,0,154835,5794,2.0744,11.7,0.4926,0.0019,0.5981,0.5176,0.0103,0.0,0.5181,0.0026,0.0,0.5278,0.0073,0.0,0.5128,0.0096,0.0,0.5129,0.0153,0.0,,,,,,,0.5383,0.0331,0.0,0.5586,0.0622,0.0,,,,,,
c_z_hist,zigzag,close,10,0.05,10,hist,0.001,False,0.0,2,False,1,close_T,all,,0,238126,5833,3.1903,15.7,0.499,0.0029,0.0006,0.5078,0.0074,0.0,0.5155,0.0021,0.0,0.5194,0.0054,0.0,0.5127,0.0085,0.0,0.5055,0.0102,0.0,,,,,,,0.5223,0.0147,0.0,0.5367,0.0386,0.0,,,,,,
c_z_bz,zigzag,close,10,0.05,10,dif,0.001,True,0.0,2,False,1,close_T,all,,0,137577,5786,1.8432,11.0,0.4928,0.0016,0.1511,0.5241,0.012,0.0,0.522,0.003,0.0,0.5367,0.0093,0.0,0.5182,0.0112,0.0,0.5204,0.0185,0.0,,,,,,,0.541,0.0364,0.0,0.5652,0.0701,0.0,,,,,,
c_z_md03,zigzag,close,10,0.05,10,dif,0.001,False,0.03,2,False,1,close_T,all,,0,115105,5776,1.5421,9.7,0.4913,0.0019,0.2732,0.526,0.0126,0.0,0.5201,0.0036,0.0,0.5375,0.0092,0.0,0.5211,0.0135,0.0,0.5187,0.0189,0.0,,,,,,,0.5395,0.0362,0.0,0.5632,0.0696,0.0,,,,,,
c_z_md05,zigzag,close,10,0.05,10,dif,0.001,False,0.05,2,False,1,close_T,all,,0,94015,5757,1.2596,9.3,0.4914,0.0022,0.3746,0.5297,0.0127,0.0,0.522,0.0044,0.0,0.5428,0.0097,0.0,0.5289,0.0161,0.0,0.5218,0.0199,0.0,,,,,,,0.5417,0.0365,0.0,0.5675,0.0701,0.0,,,,,,
c_z_md08,zigzag,close,10,0.05,10,dif,0.001,False,0.08,2,False,1,close_T,all,,0,68188,5700,0.9135,8.6,0.4913,0.0029,0.8878,0.5338,0.0134,0.0,0.5251,0.0061,0.0,0.5503,0.0107,0.0,0.5416,0.0228,0.0,0.5236,0.0206,0.0,,,,,,,0.5428,0.0414,0.0,0.5707,0.077,0.0,,,,,,
c_z_vol,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,True,1,close_T,all,,0,87569,5749,1.1732,8.6,0.486,0.0017,0.0765,0.5104,0.0113,0.0,0.5153,0.0022,0.0,0.5153,0.0057,0.0,0.5185,0.0137,0.0,0.523,0.0231,0.0,,,,,,,0.5421,0.0407,0.0,0.5721,0.0781,0.0,,,,,,
c_z_m3,zigzag,close,10,0.05,10,dif,0.001,False,0.0,2,False,3,close_T,all,,0,15793,4743,0.2116,5.7,0.4812,0.0033,0.1385,0.5357,0.0264,0.0,0.5187,0.0054,0.0149,0.542,0.0177,0.0,0.5442,0.0303,0.0,0.5873,0.0631,0.0,,,,,,,0.5795,0.0763,0.0,0.6154,0.1207,0.0,,,,,,
c_z_lb3,zigzag,close,10,0.05,10,dif,0.001,False,0.0,3,False,1,close_T,all,,0,215519,5804,2.8874,14.8,0.4924,0.0018,0.0548,0.5072,0.009,0.0,0.5171,0.0028,0.0,0.5176,0.0059,0.0,0.5051,0.0065,0.0,0.503,0.0122,0.0,,,,,,,0.5344,0.0302,0.0,0.5485,0.0522,0.0,,,,,,
c_f_cb1,fractal,close,10,0.05,10,dif,0.001,True,0.08,2,True,1,close_T,all,,0,33321,5374,0.4464,6.1,0.5347,0.0049,0.0,0.443,-0.0045,0.0,0.5435,0.0124,0.0,0.4952,0.0014,0.0916,0.5172,0.0087,0.0,0.5212,0.0204,0.0,,,,,,,0.5752,0.0695,0.0,0.5491,0.0549,0.0,,,,,,
c_f_cb2,fractal,close,10,0.05,10,dif,0.001,True,0.05,2,True,1,close_T,all,,0,44278,5556,0.5932,6.6,0.5299,0.0043,0.0,0.4446,-0.0047,0.0,0.536,0.01,0.0,0.4979,0.0012,0.0265,0.5122,0.0053,0.0,0.5233,0.019,0.0,,,,,,,0.5696,0.063,0.0,0.5481,0.0472,0.0,,,,,,
c_f_cb3,fractal,close,10,0.05,10,dif,0.001,True,0.08,2,False,1,close_T,all,,0,56697,5608,0.7596,7.0,0.5323,0.0056,0.0,0.4408,-0.0041,0.0,0.5399,0.0119,0.0,0.4962,0.001,0.0086,0.514,0.008,0.0,0.5037,0.0134,0.0,,,,,,,0.5618,0.0585,0.0,0.5223,0.026,0.0,,,,,,
c_z_cb1,zigzag,close,10,0.05,10,dif,0.001,True,0.08,2,True,1,close_T,all,,0,37227,5510,0.4987,6.3,0.483,0.0021,0.0241,0.5364,0.0155,0.0,0.5259,0.0046,0.0,0.5511,0.0125,0.0,0.5566,0.0308,0.0,0.5436,0.0322,0.0,,,,,,,0.5514,0.0441,0.0,0.5928,0.0949,0.0,,,,,,
