column,source,cn_name,status
AMIHUD_INTRADAY,s1,流动性｜abs(C/O-1)/(V*C) (日内口径),kept
AMP1,s1,波动率｜(H-L)/PC,kept
AMP20,s1,"波动率｜Mean((H-L)/PC, 20)",kept
AMT20,s1,"流动性｜log(Mean(A,20))",kept
AMT_SHRINK_PEAK,s1,"量能｜Mean(A,5)/Max(Mean(A,5),120)",kept
ATRN,s1,"波动率｜ATR14(H~,L~,C~)/C~ (Wilder 14)",kept
BBW_PCTILE250,s1,"波动率｜pct_ts(4*Std(C~,20)/Mean(C~,20), 250)",kept
BIAS20,s1,"技术指标｜C~/Mean(C~,20)-1",kept
BIAS60,s1,"技术指标｜C~/Mean(C~,60)-1",kept
BODY_STRENGTH,s1,K线形态｜(C-O)/(H-L+1e-12),kept
BOLL_SQUEEZE,s1,"技术指标｜1[(4*Std(C~,20))/Mean(C~,20) < 0.05]",kept
BREADTH_ABOVE_MA20,s1,"市场宽度｜universe 内 C~>Mean(C~,20) 占比 (自算)",kept
BREADTH_ADV5,s1,市场宽度｜universe 内 RET5>0 占比 (自算),kept
BREADTH_NEWLOW,s1,"市场宽度｜universe 内 L~=Min(L~,250) 占比 (自算)",kept
CAL_DOW_0,s1,日历｜信号日星期 one-hot (0=Mon..4=Fri),kept
CAL_DOW_1,s1,日历｜信号日星期 one-hot (0=Mon..4=Fri),kept
CAL_DOW_2,s1,日历｜信号日星期 one-hot (0=Mon..4=Fri),kept
CAL_DOW_3,s1,日历｜信号日星期 one-hot (0=Mon..4=Fri),kept
CAL_DOW_4,s1,日历｜信号日星期 one-hot (0=Mon..4=Fri),kept
CAL_HOLIDAY,s1,"日历｜春节/国庆前 10 个工作日、后 5 个工作日 dummy (静态节假日表+工作日近似, 截断不变)",kept
CAL_MONTH_1,s1,日历｜月份 one-hot,kept
CAL_MONTH_10,s1,日历｜月份 one-hot,kept
CAL_MONTH_11,s1,日历｜月份 one-hot,kept
CAL_MONTH_12,s1,日历｜月份 one-hot,kept
CAL_MONTH_2,s1,日历｜月份 one-hot,kept
CAL_MONTH_3,s1,日历｜月份 one-hot,kept
CAL_MONTH_4,s1,日历｜月份 one-hot,kept
CAL_MONTH_5,s1,日历｜月份 one-hot,kept
CAL_MONTH_6,s1,日历｜月份 one-hot,kept
CAL_MONTH_7,s1,日历｜月份 one-hot,kept
CAL_MONTH_8,s1,日历｜月份 one-hot,kept
CAL_MONTH_9,s1,日历｜月份 one-hot,kept
CAL_MONTH_POS,s1,"日历｜距月末交易日数 (同月内之后的工作日数, 静态工作日近似, 截断不变)",kept
CLOSE_VS_HIGH,s1,"K线形态｜(H-C)/(H-L), 一字板置 0.5",kept
CNTD20,s1,"技术指标｜(Count(R>0,20)-Count(R<0,20))/20",kept
CORR_CLOSE_A_10,s2,"Corr(C̃,A,10)",kept
CORR_CLOSE_A_20,s2,"Corr(C̃,A,20)",kept
CORR_CLOSE_A_3,s2,"Corr(C̃,A,3)",kept
CORR_CLOSE_A_30,s2,"Corr(C̃,A,30)",kept
CORR_CLOSE_A_5,s2,"Corr(C̃,A,5)",kept
CORR_CLOSE_A_60,s2,"Corr(C̃,A,60)",kept
CORR_CLOSE_RIDX_10,s2,"Corr(C̃,R_idx(000001.SH),10)",kept
CORR_CLOSE_RIDX_20,s2,"Corr(C̃,R_idx(000001.SH),20)",kept
CORR_CLOSE_RIDX_3,s2,"Corr(C̃,R_idx(000001.SH),3)",kept
CORR_CLOSE_RIDX_30,s2,"Corr(C̃,R_idx(000001.SH),30)",kept
CORR_CLOSE_RIDX_5,s2,"Corr(C̃,R_idx(000001.SH),5)",kept
CORR_CLOSE_RIDX_60,s2,"Corr(C̃,R_idx(000001.SH),60)",kept
CORR_CLOSE_V_10,s2,"Corr(C̃,V,10)","dropped_dedup(anchor=CPV10, rho=1.000000)"
CORR_CLOSE_V_20,s2,"Corr(C̃,V,20)","dropped_dedup(anchor=CPV20, rho=1.000000)"
CORR_CLOSE_V_3,s2,"Corr(C̃,V,3)",kept
CORR_CLOSE_V_30,s2,"Corr(C̃,V,30)",kept
CORR_CLOSE_V_5,s2,"Corr(C̃,V,5)",kept
CORR_CLOSE_V_60,s2,"Corr(C̃,V,60)",kept
CORR_HLR_V_10,s2,"Corr(H/L,V,10)","dropped_dedup(anchor=HLV_DIV10, rho=-1.000000)"
CORR_HLR_V_20,s2,"Corr(H/L,V,20)",kept
CORR_HLR_V_3,s2,"Corr(H/L,V,3)",kept
CORR_HLR_V_30,s2,"Corr(H/L,V,30)",kept
CORR_HLR_V_5,s2,"Corr(H/L,V,5)",kept
CORR_HLR_V_60,s2,"Corr(H/L,V,60)",kept
CORR_R_A_10,s2,"Corr(pct_chg/100,A,10)",kept
CORR_R_A_20,s2,"Corr(pct_chg/100,A,20)",kept
CORR_R_A_3,s2,"Corr(pct_chg/100,A,3)",kept
CORR_R_A_30,s2,"Corr(pct_chg/100,A,30)",kept
CORR_R_A_5,s2,"Corr(pct_chg/100,A,5)",kept
CORR_R_A_60,s2,"Corr(pct_chg/100,A,60)",kept
CORR_R_RIDX_10,s2,"Corr(pct_chg/100,R_idx(000001.SH),10)",kept
CORR_R_RIDX_20,s2,"Corr(pct_chg/100,R_idx(000001.SH),20)",kept
CORR_R_RIDX_3,s2,"Corr(pct_chg/100,R_idx(000001.SH),3)",kept
CORR_R_RIDX_30,s2,"Corr(pct_chg/100,R_idx(000001.SH),30)",kept
CORR_R_RIDX_5,s2,"Corr(pct_chg/100,R_idx(000001.SH),5)",kept
CORR_R_RIDX_60,s2,"Corr(pct_chg/100,R_idx(000001.SH),60)",kept
CORR_R_V_10,s2,"Corr(pct_chg/100,V,10)",kept
CORR_R_V_20,s2,"Corr(pct_chg/100,V,20)",kept
CORR_R_V_3,s2,"Corr(pct_chg/100,V,3)",kept
CORR_R_V_30,s2,"Corr(pct_chg/100,V,30)",kept
CORR_R_V_5,s2,"Corr(pct_chg/100,V,5)",kept
CORR_R_V_60,s2,"Corr(pct_chg/100,V,60)",kept
CORR_VWAP_V_10,s2,"Corr(A/V,V,10)","dropped_dedup(anchor=CPV_VWAP10, rho=-1.000000)"
CORR_VWAP_V_20,s2,"Corr(A/V,V,20)",kept
CORR_VWAP_V_3,s2,"Corr(A/V,V,3)",kept
CORR_VWAP_V_30,s2,"Corr(A/V,V,30)",kept
CORR_VWAP_V_5,s2,"Corr(A/V,V,5)",kept
CORR_VWAP_V_60,s2,"Corr(A/V,V,60)",kept
COUNT_RETID_10,s2,"Count(C/O-1>0,10)/10",kept
COUNT_RETID_20,s2,"Count(C/O-1>0,20)/20",kept
COUNT_RETID_3,s2,"Count(C/O-1>0,3)/3",kept
COUNT_RETID_30,s2,"Count(C/O-1>0,30)/30",kept
COUNT_RETID_5,s2,"Count(C/O-1>0,5)/5",kept
COUNT_RETID_60,s2,"Count(C/O-1>0,60)/60",kept
COUNT_RETON_10,s2,"Count(O/PC-1>0,10)/10",kept
COUNT_RETON_20,s2,"Count(O/PC-1>0,20)/20",kept
COUNT_RETON_3,s2,"Count(O/PC-1>0,3)/3",kept
COUNT_RETON_30,s2,"Count(O/PC-1>0,30)/30",kept
COUNT_RETON_5,s2,"Count(O/PC-1>0,5)/5",kept
COUNT_RETON_60,s2,"Count(O/PC-1>0,60)/60",kept
COUNT_R_10,s2,"Count(pct_chg/100>0,10)/10",kept
COUNT_R_20,s2,"Count(pct_chg/100>0,20)/20",kept
COUNT_R_3,s2,"Count(pct_chg/100>0,3)/3",kept
COUNT_R_30,s2,"Count(pct_chg/100>0,30)/30",kept
COUNT_R_5,s2,"Count(pct_chg/100>0,5)/5",kept
COUNT_R_60,s2,"Count(pct_chg/100>0,60)/60",kept
COV_CLOSE_LOGV_10,s2,"Cov(C̃,log(V+1),10)",kept
COV_CLOSE_LOGV_20,s2,"Cov(C̃,log(V+1),20)",kept
COV_CLOSE_LOGV_3,s2,"Cov(C̃,log(V+1),3)",kept
COV_CLOSE_LOGV_30,s2,"Cov(C̃,log(V+1),30)",kept
COV_CLOSE_LOGV_5,s2,"Cov(C̃,log(V+1),5)",kept
COV_CLOSE_LOGV_60,s2,"Cov(C̃,log(V+1),60)",kept
COV_HLR_LOGV_10,s2,"Cov(H/L,log(V+1),10)",kept
COV_HLR_LOGV_20,s2,"Cov(H/L,log(V+1),20)",kept
COV_HLR_LOGV_3,s2,"Cov(H/L,log(V+1),3)",kept
COV_HLR_LOGV_30,s2,"Cov(H/L,log(V+1),30)",kept
COV_HLR_LOGV_5,s2,"Cov(H/L,log(V+1),5)",kept
COV_HLR_LOGV_60,s2,"Cov(H/L,log(V+1),60)",kept
