cluster_id,feature,family,val_icir,kept,is_geo_control,max_abs_rho,note
1,RET20,反转,-0.26447,True,False,True,
1,DSR20,波动结构,0.18528,False,False,True,
1,SUMD20,技术指标,-0.21630,False,False,True,
2,VOL15,波动率,-0.40794,True,False,True,
2,VOL20,波动率,-0.34669,True,True,True,几何控制变量，保留为控制
2,IVOL60,波动率,-0.26679,False,False,True,
2,AMP20,波动率,-0.34775,True,True,True,几何控制变量，保留为控制
2,ATRN,波动率,-0.37206,True,True,True,几何控制变量，保留为控制
2,MAX20,彩票,-0.35318,False,False,True,
2,SR_RATIO20,位置结构,-0.36725,False,False,True,
2,GAP_VOL20,隔夜,-0.30675,False,False,True,
2,VOL60,波动率,-0.27752,False,False,True,
2,PARK20,波动率,-0.35154,False,False,True,
2,GK_VOL,波动率,-0.38664,False,False,True,
2,MAX5_20,彩票,-0.36433,False,False,True,
2,IVOV60,高阶矩,-0.29866,False,False,True,
3,AMP1,波动率,-0.16416,False,False,True,
3,HL_SPREAD,流动性,-0.17717,True,False,True,
4,CPV10,量价相关,-0.19743,False,False,True,
4,CPV_VWAP10,量价相关,0.26966,True,False,True,
5,MACD_DIF_NORM,技术指标,-0.19525,False,False,True,
5,DIV_ZERO_AXIS_DEPTH,事件结构,-0.19620,True,False,True,
6,CLOSE_VS_HIGH,K线形态,-0.18010,True,False,True,
6,BODY_STRENGTH,K线形态,0.14249,False,False,True,
