feature,family,event_only,main_train_ic,main_train_icir,main_train_pos_day,main_train_days,main_train_ic_ret10,main_train_icir_ret10,main_val_ic,main_val_icir,main_val_pos_day,main_val_days,main_val_ic_ret10,main_val_icir_ret10,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,n_valid_years,dir_consistent_year_share,pos_year_share,backup_train_ic,backup_train_icir,backup_train_pos_day,backup_train_days,backup_train_ic_ret10,backup_train_icir_ret10,backup_val_ic,backup_val_icir,backup_val_pos_day,backup_val_days,backup_val_ic_ret10,backup_val_icir_ret10,main_pass,main_fail_reason,backup_pass,backup_fail_reason,is_geo_control,decision,decision_reason
RET1,反转,False,0.05911,0.20229,0.58108,74,-0.01962,-0.05707,0.00611,0.01855,0.44762,105,-0.03809,-0.11939,-0.11677,-0.14815,-0.04724,0.00753,-0.04327,-0.03451,-0.33912,0.00528,-0.18590,-0.05031,0.04466,0.08618,-0.06453,-0.14662,0.00477,-0.10570,-0.05593,-0.00649,-0.07129,0.05704,0.00564,-0.04438,19,0.75000,0.75000,-0.02674,-0.08029,0.42610,636,-0.05693,-0.16395,-0.01676,-0.04850,0.42857,343,-0.04731,-0.12366,False,|val ICIR|=0.019<0.1,False,|val ICIR|=-0.048<0.1,False,淘汰,主池三关未过: |val ICIR|=0.019<0.1
RET5,反转,False,-0.01841,-0.05480,0.45946,74,-0.09732,-0.24948,0.02153,0.06336,0.47619,105,-0.07673,-0.22725,-0.05278,-0.18636,0.04208,-0.07477,-0.08931,-0.21817,-0.34782,-0.00321,0.17445,0.04830,-0.02166,0.04918,-0.07765,-0.25903,0.02512,-0.13410,-0.06382,0.02878,-0.00407,0.03597,0.04958,0.02555,19,0.50000,0.50000,-0.03198,-0.09106,0.42296,636,-0.09202,-0.24726,0.02782,0.07582,0.47522,343,-0.04857,-0.12685,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.063<0.1,False,符号相反;|val ICIR|=0.076<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.063<0.1
RET10,反转,False,-0.07849,-0.24836,0.39189,74,-0.11637,-0.31509,0.03345,0.10127,0.46667,105,-0.05625,-0.15205,0.06481,-0.21736,-0.04357,0.00396,-0.06190,0.10511,-0.24435,0.00175,0.21274,0.11582,0.00624,-0.00430,0.01156,-0.12757,-0.06744,-0.04319,0.01049,-0.03506,-0.01406,0.06484,0.03358,0.04968,19,0.50000,0.50000,-0.02056,-0.05807,0.41667,636,-0.07562,-0.19854,0.03114,0.08407,0.49271,343,-0.05408,-0.13636,False,符号相反;年度一致率0.50<0.55,False,符号相反;年度一致率0.47<0.55;|val ICIR|=0.084<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55
RET20,反转,False,-0.06832,-0.23210,0.33784,74,-0.11363,-0.28063,-0.08336,-0.26447,0.39048,105,-0.09149,-0.24165,-0.09892,-0.02938,-0.05312,-0.07241,-0.04374,-0.14600,0.03845,-0.02926,0.11737,-0.11769,-0.00886,-0.05756,-0.11380,-0.05129,0.00868,0.03856,-0.00665,-0.01723,-0.02076,0.07403,0.09565,-0.01331,19,1.00000,0.00000,-0.02738,-0.07841,0.41195,636,-0.05442,-0.14818,0.03594,0.09732,0.48980,343,-0.01509,-0.03723,True,,False,符号相反;|val ICIR|=0.097<0.1,False,B,主池过、备池未过: 符号相反;|val ICIR|=0.097<0.1
RET_ON,隔夜/日内,False,0.05416,0.21574,0.59459,74,0.05174,0.13163,0.02809,0.08450,0.50476,105,-0.03978,-0.12083,-0.07705,-0.03330,0.00878,-0.08195,-0.08894,-0.27515,-0.00419,0.10412,-0.44790,0.09345,0.03659,-0.02844,0.09032,0.03503,0.03962,-0.04374,0.04003,0.00642,-0.01684,0.00232,0.02183,0.03275,19,0.75000,0.75000,0.00882,0.02604,0.47799,636,0.00563,0.01578,0.01134,0.03146,0.46647,343,-0.04971,-0.13452,False,|val ICIR|=0.085<0.1,False,|val ICIR|=0.031<0.1,False,淘汰,主池三关未过: |val ICIR|=0.085<0.1
RET_ID,隔夜/日内,False,0.02132,0.07323,0.54054,74,-0.06514,-0.18677,0.04775,0.13381,0.48571,105,-0.00743,-0.02128,-0.06645,-0.07390,-0.05595,-0.01834,-0.03104,0.11672,-0.20638,-0.09175,0.07560,-0.05274,0.04401,0.03886,-0.09679,-0.20339,0.00727,-0.13200,-0.08761,-0.00236,-0.08085,0.02369,0.01379,-0.02634,19,0.50000,0.50000,-0.04366,-0.12627,0.39843,635,-0.05905,-0.16674,-0.01801,-0.05221,0.41691,343,-0.03448,-0.08781,False,年度一致率0.50<0.55,False,|val ICIR|=-0.052<0.1,False,淘汰,主池三关未过: 年度一致率0.50<0.55
CUMON20,隔夜/日内,False,-0.05494,-0.18007,0.39189,74,-0.03953,-0.12595,0.00323,0.00996,0.49524,105,0.02347,0.06910,0.05288,-0.08377,0.07302,-0.05144,-0.08747,-0.21661,-0.15046,-0.00003,-0.01958,0.12154,-0.03482,-0.00004,0.00289,0.03232,-0.04893,-0.01441,0.03357,0.00104,0.06555,-0.01100,0.00641,0.01942,19,0.50000,0.50000,-0.00152,-0.00442,0.45755,636,-0.00559,-0.01578,0.02133,0.06093,0.46939,343,0.00554,0.01476,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.010<0.1,False,符号相反;年度一致率0.47<0.55;|val ICIR|=0.061<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.010<0.1
CUMID20,隔夜/日内,False,-0.05217,-0.18439,0.35135,74,-0.10129,-0.27692,-0.02306,-0.07243,0.46667,105,-0.04016,-0.12264,-0.12289,0.01042,-0.05270,-0.06385,0.00342,0.09361,0.21887,-0.07032,0.14683,-0.18042,0.04263,-0.02341,-0.11953,0.06021,0.00941,0.08876,-0.01089,-0.03321,-0.06093,0.09791,0.06475,-0.00176,19,1.00000,0.00000,-0.01691,-0.04776,0.44182,636,-0.05043,-0.13667,0.02285,0.06487,0.48688,343,-0.00909,-0.02505,False,|val ICIR|=-0.072<0.1,False,符号相反;|val ICIR|=0.065<0.1,False,淘汰,主池三关未过: |val ICIR|=-0.072<0.1
VOL5,波动率,False,-0.05069,-0.14442,0.39189,74,-0.07980,-0.22542,-0.10217,-0.31026,0.35238,105,-0.09925,-0.29667,-0.08044,0.09618,-0.00400,0.03412,-0.05583,-0.19282,-0.12841,0.00661,-0.34678,-0.05109,0.04204,0.01874,-0.05582,-0.07679,0.02848,-0.09422,-0.07824,-0.01758,-0.06134,0.02034,0.00449,-0.02934,19,1.00000,0.00000,-0.02643,-0.07646,0.44025,636,-0.01917,-0.05044,-0.01748,-0.04798,0.43149,343,-0.01798,-0.04663,True,,False,|val ICIR|=-0.048<0.1,False,B,主池过、备池未过: |val ICIR|=-0.048<0.1
VOL15,波动率,False,-0.03657,-0.11233,0.40541,74,-0.02043,-0.05510,-0.12481,-0.40794,0.25714,105,-0.08500,-0.24532,-0.11931,0.05530,-0.01529,0.05195,-0.03429,-0.32074,-0.22227,0.02893,-0.19956,-0.18078,0.02210,0.00655,0.03389,-0.19578,0.04755,-0.12650,-0.09504,-0.04536,-0.07017,-0.00072,-0.05869,-0.00340,19,1.00000,0.00000,-0.04171,-0.11363,0.41195,636,-0.01034,-0.02703,-0.03771,-0.10034,0.42566,343,-0.02483,-0.06629,True,,True,,False,A,双池双段三关皆过，共线性幸存
VOL20,波动率,False,-0.02899,-0.08566,0.41892,74,-0.01653,-0.04366,-0.10557,-0.34669,0.25714,105,-0.08086,-0.24763,-0.17990,0.07518,-0.02924,0.02504,-0.02053,-0.33696,-0.26604,0.04031,-0.33215,-0.21074,0.00539,0.06692,0.02534,-0.17258,0.07118,-0.14949,-0.09196,-0.05235,-0.05264,-0.04594,-0.05347,0.03160,19,1.00000,0.00000,-0.04149,-0.11287,0.43239,636,0.00143,0.00365,-0.03109,-0.08316,0.42857,343,-0.01872,-0.04999,True,,False,|val ICIR|=-0.083<0.1,True,几何控制变量,ATRN/VOL20/AMP20 与标签可达性机械相关，建模作控制变量，不按 IC 判优劣
IVOL60,波动率,False,-0.01889,-0.05254,0.45946,74,-0.03304,-0.08398,-0.08904,-0.26679,0.32381,105,-0.05596,-0.15985,-0.13150,-0.15262,-0.05983,-0.01890,0.00103,-0.16018,-0.27699,0.06527,-0.28213,-0.14493,-0.05847,0.01955,0.02363,-0.00496,-0.00282,-0.13302,-0.06259,-0.05167,-0.04452,-0.05774,-0.02074,-0.06321,19,1.00000,0.00000,-0.04233,-0.11871,0.40094,636,-0.01196,-0.03073,-0.04368,-0.11880,0.40525,343,-0.02288,-0.06113,True,,True,,False,淘汰,共线性簇#2败给VOL15
AMP1,波动率,False,-0.07169,-0.23509,0.40541,74,-0.09870,-0.25901,-0.05857,-0.16416,0.35238,105,-0.08579,-0.22521,-0.03854,-0.03836,-0.09074,-0.04358,-0.05872,-0.04140,-0.42327,-0.09810,-0.11785,-0.05599,0.00447,0.06362,-0.09025,-0.12511,-0.05069,-0.13771,-0.10721,-0.00346,-0.07564,-0.03167,0.01415,-0.04521,19,1.00000,0.00000,-0.05500,-0.15549,0.40566,636,-0.07380,-0.20457,-0.03105,-0.08862,0.38192,343,-0.05009,-0.13170,True,,False,|val ICIR|=-0.089<0.1,False,淘汰,共线性簇#3败给HL_SPREAD
AMP20,波动率,False,-0.06786,-0.20893,0.43243,74,-0.03526,-0.08880,-0.10461,-0.34775,0.29524,105,-0.05571,-0.17096,-0.03883,0.03953,-0.03341,-0.07500,-0.04098,-0.30432,-0.26973,0.01632,-0.16777,-0.17430,0.01914,-0.03490,0.03522,-0.09253,-0.00625,-0.12729,-0.10113,-0.07390,-0.05416,-0.02306,-0.06163,-0.00206,19,1.00000,0.00000,-0.05650,-0.15640,0.40252,636,-0.00169,-0.00439,-0.03831,-0.10521,0.41983,343,-0.01748,-0.04511,True,,True,,True,几何控制变量,ATRN/VOL20/AMP20 与标签可达性机械相关，建模作控制变量，不按 IC 判优劣
ATRN,波动率,False,-0.05623,-0.17741,0.40541,74,-0.03467,-0.08703,-0.11401,-0.37206,0.29524,105,-0.09328,-0.28257,-0.09109,0.05126,-0.08038,-0.03288,-0.01862,-0.16707,-0.17587,0.03457,-0.36384,-0.14496,0.00319,-0.04038,0.06321,-0.06165,0.06024,-0.09812,-0.08858,-0.05972,-0.03913,-0.05136,-0.03827,-0.04396,19,1.00000,0.00000,-0.04550,-0.12620,0.41038,636,0.01360,0.03535,-0.04221,-0.11361,0.40525,343,-0.01429,-0.03560,True,,True,,True,几何控制变量,ATRN/VOL20/AMP20 与标签可达性机械相关，建模作控制变量，不按 IC 判优劣
ILLIQ20,流动性,False,0.05054,0.14826,0.58108,74,0.02237,0.05839,-0.02013,-0.05166,0.48571,105,-0.02946,-0.07683,-0.06491,-0.02234,0.03799,-0.03117,0.09971,-0.31925,0.07094,-0.00496,0.23648,-0.04481,0.02745,0.11697,0.02826,0.08964,0.23061,0.04488,-0.02846,0.05050,-0.04563,0.08116,0.08064,0.04647,19,0.50000,0.50000,0.03468,0.10219,0.52044,636,0.00683,0.01846,0.04071,0.11369,0.51603,343,0.01371,0.03474,False,符号相反;年度一致率0.50<0.55;|val ICIR|=-0.052<0.1,True,,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=-0.052<0.1
AMT20,流动性,False,-0.08770,-0.27439,0.29730,74,-0.04414,-0.11929,-0.03419,-0.08900,0.39048,105,-0.00445,-0.01164,0.01648,0.02650,-0.00804,0.01339,-0.08539,0.13538,-0.06005,0.00453,-0.30685,0.00285,-0.02382,-0.12957,0.00057,-0.09614,-0.17197,-0.13174,-0.02761,-0.08510,0.01704,-0.08153,-0.08578,-0.04255,19,0.75000,0.25000,-0.05597,-0.16263,0.36321,636,-0.01928,-0.05344,-0.04866,-0.13532,0.38484,343,-0.01273,-0.03257,False,|val ICIR|=-0.089<0.1,True,,False,淘汰,主池三关未过: |val ICIR|=-0.089<0.1
