feature,importance,rank,kept
cs_n,0.19456272376374498,0,True
macd_death_cross_rankpct,0.09958640908371322,1,True
market_avg_amplitude_rankpct,0.09272561975546134,2,True
REGIME_CODE,0.09246022246534605,3,True
MKT_DD120,0.0718407231109566,4,True
LIMITUP_N_MKT,0.06882829524471953,5,True
day_of_year,0.04192875540266039,6,True
bb_squeeze_rankpct,0.04126111141685608,7,True
MKT_NH_NL_DIFF,0.03846436064761014,8,True
ma_arrangement_rankpct,0.03823889635083087,9,True
TREND_SLOPE_120,0.036742885855563276,10,True
MKT_VOL20_PCT,0.0365067127585,11,True
AMT20,0.03015870636715498,12,True
macd_zero_cross_down_rankpct,0.02998547135696244,13,True
STYLE_GV_RS60,0.028415301079809857,14,True
STYLE_SIZE_RS60,0.0281725484848829,15,True
MKT_DOWNLIMIT_Z,0.027168532076483988,16,True
MKT_AMT_PCT,0.026075785361008064,17,True
MKT_TURNOVER_PCTL,0.023993163944015506,18,True
LIMITUP_N_MKT_MA20,0.020297765123360605,19,True
RET120_20,0.018144199505308416,20,True
LN_FREE_MV,0.017790170463845695,21,True
rsi_overbought_24_rankpct,0.015800902828975453,22,True
MKT_SEAL_RATIO,0.01515009888763859,23,True
volume_z,0.01449466344572023,24,True
doji_pattern_rankpct,0.014095688623143587,25,True
MACD_DIF_NORM,0.01406370225097491,26,True
MEAN_R_60,0.012616986472954202,27,True
DIST_52W_HIGH,0.012231068811482667,28,True
SJV60,0.012172497860812771,29,True
IDXMIN_R_60,0.012144286631852616,30,True
STD_A_20,0.012087732028632428,31,True
MKT_RET20,0.011669435170643767,32,True
BREADTH_ADV5,0.011516326889604201,33,True
VOL_CONTRACTION60,0.010517957985100754,34,True
log_volume_z,0.010396354830555692,35,True
ABN_TURN_21_252,0.00966110784781451,36,True
MKT_TURNOVER_PCTL_EQW,0.009481847719368268,37,True
BREADTH_ABOVE_MA20,0.009315535943084572,38,True
RESI_LOW_30,0.009300920113488109,39,True
volume_ma_20_z,0.009234274359498541,40,True
week_of_year,0.008815467502860523,41,True
price_volume_divergence_rankpct,0.00870483306351508,42,True
COV_R_RIDX_10,0.008670341201963108,43,True
RSQ_CF_60,0.008174765448597982,44,True
hammer_pattern_rankpct,0.007764099034755063,45,True
DIV_ZERO_AXIS_DEPTH,0.007317426184673927,46,True
KURT_R_5,0.007310130972549754,47,True
MKT_AVG_CHANGE,0.007242175861060735,48,True
REF_LOW_60,0.007205455391742736,49,True
signed_vol_strength_rankpct,0.007130791617529694,50,True
rsi_overbought_14_rankpct,0.007119907144367901,51,True
RSQ_OPEN_60,0.00676939835764854,52,True
signed_vol_strength_z,0.006603164765448867,53,True
SLOPE_V_60,0.00657751907412281,54,True
MAX_LOGV_20,0.006548549248023484,55,True
COV_R_RIDX_5,0.006256522299272604,56,True
illiq,0.006239067465353534,57,True
MKT_RSI14,0.006074123952369791,58,True
RSQ_HIGH_60,0.006068631501202707,59,True
MKT_MA60,0.005948406544759338,60,True
rsi_oversold_24_rankpct,0.005925411184365968,61,True
DIV_DIF_LEVEL_L1,0.005699533429395113,62,True
CAL_MONTH_12,0.005697283289024763,63,True
macd_zero_cross_rankpct,0.005649222786695321,64,True
Q80_A_20,0.005495944105966638,65,True
rsi_overbought_6_rankpct,0.005440932110833309,66,True
SLOPE_CF_60,0.005188005316252252,67,True
volume_lag_25_z,0.004976114689346587,68,True
log_volume_rankpct,0.004893564297671862,69,True
COV_R_RIDX_30,0.004790824274720577,70,True
stoch_overbought_rankpct,0.004788963619226735,71,True
MIN_RETID_30,0.004706724809338482,72,True
MKT_SH_AMPLITUDE,0.004638421009367065,73,True
RESI_VWAP_30,0.004570496225115755,74,True
IDXMAX_OPEN_60,0.004561093523323868,75,True
MAX_A_3,0.0043450439976344055,76,True
ILLIQ20,0.004287185013682116,77,True
MKT_LIMITUP_PREM,0.00418902835316368,78,True
MA200_RATIO,0.0041103724275395786,79,True
IDXMIN_VWAP_20,0.004082701777520647,80,True
vol_divergence_rankpct,0.004041399490134082,81,True
MKT_LIMITUP_PREM_MA5,0.00399626621729366,82,True
COV_CLOSE_LOGV_20,0.003892911845237989,83,True
volatility_30d_rankpct,0.003869793973420361,84,True
signed_volume_strength_rankpct,0.0038618637182064653,85,True
