feature,sign_2019,sign_2020,sign_2021,sign_2022,consistent
cs_n,1,-1,-1,-1,False
macd_death_cross_rankpct,1,1,1,1,True
market_avg_amplitude_rankpct,-1,-1,-1,1,False
REGIME_CODE,1,1,1,1,True
MKT_DD120,-1,-1,1,-1,False
LIMITUP_N_MKT,1,-1,1,1,False
day_of_year,-1,1,-1,-1,False
bb_squeeze_rankpct,1,-1,-1,-1,False
MKT_NH_NL_DIFF,1,1,1,1,True
ma_arrangement_rankpct,1,1,1,1,True
TREND_SLOPE_120,-1,-1,-1,-1,True
MKT_VOL20_PCT,-1,1,-1,1,False
AMT20,-1,-1,-1,-1,True
macd_zero_cross_down_rankpct,1,1,1,1,True
STYLE_GV_RS60,-1,1,-1,-1,False
STYLE_SIZE_RS60,-1,-1,-1,-1,True
MKT_DOWNLIMIT_Z,1,-1,-1,-1,False
MKT_AMT_PCT,1,1,1,-1,False
MKT_TURNOVER_PCTL,1,1,-1,1,False
LIMITUP_N_MKT_MA20,-1,1,1,-1,False
RET120_20,-1,-1,-1,-1,True
LN_FREE_MV,-1,-1,-1,-1,True
rsi_overbought_24_rankpct,1,-1,-1,1,False
MKT_SEAL_RATIO,-1,-1,-1,-1,True
volume_z,-1,-1,-1,-1,True
doji_pattern_rankpct,1,1,1,1,True
MACD_DIF_NORM,-1,-1,-1,-1,True
MEAN_R_60,-1,-1,-1,-1,True
DIST_52W_HIGH,-1,-1,-1,-1,True
SJV60,-1,-1,-1,-1,True
IDXMIN_R_60,-1,-1,-1,-1,True
STD_A_20,-1,-1,-1,-1,True
MKT_RET20,1,1,1,1,True
BREADTH_ADV5,1,1,1,1,True
VOL_CONTRACTION60,-1,-1,-1,-1,True
log_volume_z,-1,-1,-1,-1,True
ABN_TURN_21_252,-1,-1,-1,-1,True
MKT_TURNOVER_PCTL_EQW,1,1,1,1,True
BREADTH_ABOVE_MA20,1,1,1,1,True
RESI_LOW_30,1,1,1,1,True
volume_ma_20_z,-1,-1,-1,-1,True
week_of_year,1,-1,-1,-1,False
price_volume_divergence_rankpct,-1,-1,-1,-1,True
COV_R_RIDX_10,1,1,1,1,True
RSQ_CF_60,1,1,1,1,True
hammer_pattern_rankpct,1,1,1,1,True
DIV_ZERO_AXIS_DEPTH,-1,-1,-1,-1,True
KURT_R_5,-1,-1,-1,-1,True
MKT_AVG_CHANGE,1,1,-1,-1,False
REF_LOW_60,1,1,1,1,True
signed_vol_strength_rankpct,-1,-1,-1,-1,True
rsi_overbought_14_rankpct,1,1,1,1,True
RSQ_OPEN_60,1,1,1,1,True
signed_vol_strength_z,-1,-1,-1,-1,True
SLOPE_V_60,-1,-1,-1,-1,True
MAX_LOGV_20,-1,-1,-1,-1,True
COV_R_RIDX_5,1,1,1,1,True
illiq,1,1,1,1,True
MKT_RSI14,-1,-1,-1,-1,True
RSQ_HIGH_60,1,1,1,1,True
MKT_MA60,-1,-1,-1,1,False
rsi_oversold_24_rankpct,1,1,1,-1,False
DIV_DIF_LEVEL_L1,-1,-1,-1,-1,True
CAL_MONTH_12,-1,-1,-1,-1,True
macd_zero_cross_rankpct,1,1,-1,-1,False
Q80_A_20,-1,-1,-1,-1,True
rsi_overbought_6_rankpct,-1,-1,-1,-1,True
SLOPE_CF_60,-1,-1,-1,-1,True
volume_lag_25_z,-1,-1,-1,-1,True
log_volume_rankpct,-1,-1,-1,-1,True
