feature,representative,is_representative,corr_with_rep,rank
macd_death_cross_rankpct,macd_death_cross_rankpct,True,1.0,1
REGIME_CODE,REGIME_CODE,True,1.0,3
MKT_NH_NL_DIFF,MKT_NH_NL_DIFF,True,1.0,8
ma_arrangement_rankpct,ma_arrangement_rankpct,True,1.0,9
TREND_SLOPE_120,TREND_SLOPE_120,True,1.0,10
AMT20,AMT20,True,1.0,12
macd_zero_cross_down_rankpct,macd_zero_cross_down_rankpct,True,1.0,13
STYLE_SIZE_RS60,STYLE_SIZE_RS60,True,1.0,15
RET120_20,RET120_20,True,1.0,20
LN_FREE_MV,LN_FREE_MV,True,1.0,21
MKT_SEAL_RATIO,MKT_SEAL_RATIO,True,1.0,23
volume_z,volume_z,True,1.0,24
doji_pattern_rankpct,doji_pattern_rankpct,True,1.0,25
MACD_DIF_NORM,MACD_DIF_NORM,True,1.0,26
MEAN_R_60,MEAN_R_60,True,1.0,27
DIST_52W_HIGH,DIST_52W_HIGH,True,1.0,28
SJV60,SJV60,True,1.0,29
IDXMIN_R_60,IDXMIN_R_60,True,1.0,30
STD_A_20,STD_A_20,True,1.0,31
MKT_RET20,MKT_RET20,True,1.0,32
BREADTH_ADV5,BREADTH_ADV5,True,1.0,33
VOL_CONTRACTION60,VOL_CONTRACTION60,True,1.0,34
log_volume_z,log_volume_z,True,1.0,35
ABN_TURN_21_252,ABN_TURN_21_252,True,1.0,36
MKT_TURNOVER_PCTL_EQW,MKT_TURNOVER_PCTL_EQW,True,1.0,37
BREADTH_ABOVE_MA20,BREADTH_ABOVE_MA20,True,1.0,38
RESI_LOW_30,RESI_LOW_30,True,1.0,39
volume_ma_20_z,volume_ma_20_z,True,1.0,40
price_volume_divergence_rankpct,price_volume_divergence_rankpct,True,1.0,42
COV_R_RIDX_10,COV_R_RIDX_10,True,1.0,43
RSQ_CF_60,RSQ_CF_60,True,1.0,44
hammer_pattern_rankpct,hammer_pattern_rankpct,True,1.0,45
DIV_ZERO_AXIS_DEPTH,MACD_DIF_NORM,False,0.9852398018592475,46
KURT_R_5,KURT_R_5,True,1.0,47
REF_LOW_60,REF_LOW_60,True,1.0,49
signed_vol_strength_rankpct,signed_vol_strength_rankpct,True,1.0,50
rsi_overbought_14_rankpct,rsi_overbought_14_rankpct,True,1.0,51
RSQ_OPEN_60,RSQ_CF_60,False,0.9937175517664756,52
signed_vol_strength_z,signed_vol_strength_z,True,1.0,53
SLOPE_V_60,SLOPE_V_60,True,1.0,54
MAX_LOGV_20,MAX_LOGV_20,True,1.0,55
COV_R_RIDX_5,COV_R_RIDX_5,True,1.0,56
illiq,illiq,True,1.0,57
MKT_RSI14,MKT_RSI14,True,1.0,58
RSQ_HIGH_60,RSQ_CF_60,False,0.9949074382149224,59
DIV_DIF_LEVEL_L1,DIV_DIF_LEVEL_L1,True,1.0,62
CAL_MONTH_12,CAL_MONTH_12,True,1.0,63
Q80_A_20,Q80_A_20,True,1.0,65
rsi_overbought_6_rankpct,rsi_overbought_6_rankpct,True,1.0,66
SLOPE_CF_60,REF_LOW_60,False,-0.9006768410843364,67
volume_lag_25_z,volume_lag_25_z,True,1.0,68
log_volume_rankpct,log_volume_z,False,0.9433471363715003,69
COV_R_RIDX_30,COV_R_RIDX_30,True,1.0,70
stoch_overbought_rankpct,stoch_overbought_rankpct,True,1.0,71
MIN_RETID_30,MIN_RETID_30,True,1.0,72
MKT_SH_AMPLITUDE,MKT_SH_AMPLITUDE,True,1.0,73
RESI_VWAP_30,RESI_VWAP_30,True,1.0,74
IDXMAX_OPEN_60,IDXMAX_OPEN_60,True,1.0,75
MAX_A_3,MAX_A_3,True,1.0,76
ILLIQ20,AMT20,False,-0.9169755976495985,77
