k,final_num_boost_round,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg,train_oof_average_precision,train_oof_precision_at_5_dayavg
5,13,0.627568899273747,0.5624250214224508,0.5601686668829062,0.619029527493515,0.5254568527918783
10,38,0.6565310975085508,0.5629391602399315,0.560817385663315,0.6264589724720102,0.530228426395939
15,31,0.6406473653999629,0.5626820908311911,0.5604930262731106,0.6138138457376534,0.5316497461928935
20,12,0.6164254650751962,0.5667952013710369,0.5656827765163801,0.6480073069239648,0.529010152284264
25,60,0.6529705065324982,0.5737360754070265,0.5744404800518975,0.6456746268278459,0.5315482233502539
30,49,0.6506987203481884,0.5727077977720652,0.5731430424910802,0.6360865972496486,0.5320558375634519
40,73,0.6448992800826807,0.5698800342759212,0.5695750891988323,0.629977286055407,0.5306345177664974
50,71,0.6587469361504914,0.5703941730934019,0.570223807979241,0.6013588193276422,0.5336802030456853
75,19,0.6397864021617022,0.5662810625535561,0.5650340577359715,0.6022880950471099,0.5296192893401015
100,16,0.6501449149481171,0.5660239931448158,0.5647096983457671,0.6266917354868214,0.5287055837563452
150,32,0.6583203199071798,0.5608826049700085,0.5582225105416802,0.6051384769171069,0.5304314720812182
200,12,0.6519036635095037,0.568337617823479,0.5676289328576062,0.6130738475509084,0.5288071065989848
300,83,0.6625489041204644,0.5698800342759212,0.5695750891988323,0.6421057952466727,0.5355076142131979
385,44,0.6565875916561856,0.5642245072836333,0.5624391826143367,0.6240850294356026,0.5341878172588832
