candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_base_rate,train_oof_average_precision,train_oof_n_days,train_oof_n_selected,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_base_rate,val_average_precision,val_n_days,val_n_selected,val_precision_at_5_dayavg,val_precision_at_5_eventavg
hit_N20_k2.0,0,15,50,0.05,0.6,"35,47,1,40,14",27,1.191483283367354,0.09875363563461023,-0.34591666828412093,2655,0.6116760828625235,0.6473822966448195,335,801,0.5352238805970149,0.581772784019975,3143,0.5800190900413618,0.6282588395379161,316,932,0.5164556962025316,0.5439914163090128
hit_N20_k2.0,1,15,50,0.05,0.8,"43,8,88,40,12",38,0.9526908966753581,1.7691618731842456,-0.998274715463806,2655,0.6116760828625235,0.7058500730824275,335,801,0.5346268656716416,0.5805243445692884,3143,0.5800190900413618,0.6180257053241571,316,932,0.5018987341772153,0.51931330472103
hit_N20_k2.0,2,15,50,0.1,0.6,"8,2,1,9,25",9,0.9921440892871431,0.2182538159765498,-0.2489447997783371,2655,0.6116760828625235,0.6318128357259399,335,801,0.5322388059701492,0.5755305867665418,3143,0.5800190900413618,0.6135282643818356,316,932,0.5082278481012658,0.5300429184549357
hit_N20_k2.0,3,15,50,0.1,0.8,"10,2,31,7,14",13,0.8046570936171061,2.317074007723523,-1.076007614515746,2655,0.6116760828625235,0.7287926204140488,335,801,0.5382089552238807,0.5880149812734082,3143,0.5800190900413618,0.6311706464899719,316,932,0.5120253164556962,0.5364806866952789
hit_N20_k2.0,4,15,100,0.05,0.6,"1,8,47,19,20",19,1.2944708803962905,1.3337048096529003,-0.876909440290962,2655,0.6116760828625235,0.6627990474081811,335,801,0.5340298507462686,0.5792759051186017,3143,0.5800190900413618,0.6060343409170581,316,932,0.5050632911392405,0.5246781115879828
hit_N20_k2.0,5,15,100,0.05,0.8,"1,4,48,5,39",19,0.9936018874559278,1.5080502432988792,-0.7844933162089948,2655,0.6116760828625235,0.6728401586070925,335,801,0.5304477611940298,0.5717852684144819,3143,0.5800190900413618,0.6265028670817702,316,932,0.510126582278481,0.5332618025751072
hit_N20_k2.0,6,15,100,0.1,0.6,"1,4,44,5,13",13,1.351052301499855,2.4521195041772472,-1.4684840484747907,2655,0.6116760828625235,0.7188360628024624,335,801,0.526268656716418,0.5630461922596754,3143,0.5800190900413618,0.5905028154104619,316,932,0.5044303797468355,0.5236051502145923
hit_N20_k2.0,7,15,100,0.1,0.8,"1,4,84,14,15",24,1.073702667539175,1.9069559665743734,-1.0807599905857694,2655,0.6116760828625235,0.7113987142597363,335,801,0.5334328358208955,0.5780274656679151,3143,0.5800190900413618,0.6360379529309036,316,932,0.5107594936708861,0.5343347639484979
hit_N20_k2.0,8,15,200,0.05,0.6,"1,1,27,64,170",53,1.2417289662587299,0.5619127004210996,-0.5775858657937157,2655,0.6116760828625235,0.6533280421129428,335,801,0.5352238805970149,0.581772784019975,3143,0.5800190900413618,0.6162204087633771,316,932,0.510126582278481,0.5332618025751072
hit_N20_k2.0,9,15,200,0.05,0.8,"1,1,23,62,8",19,0.5184630231859525,0.7476748292863911,-0.19395716080091935,2655,0.6116760828625235,0.6434305009380141,335,801,0.5298507462686567,0.5705368289637952,3143,0.5800190900413618,0.608583772782623,316,932,0.5063291139240507,0.526824034334764
hit_N20_k2.0,10,15,200,0.1,0.6,"1,1,54,21,14",18,1.0691669701485351,1.7300099688605008,-0.9357547394792144,2655,0.6116760828625235,0.6845356478033165,335,801,0.5346268656716417,0.5805243445692884,3143,0.5800190900413618,0.6259271110187372,316,932,0.5107594936708861,0.5343347639484979
hit_N20_k2.0,11,15,200,0.1,0.8,"1,1,29,39,11",16,0.9934282082731869,0.5443855121174627,-0.4175286795593786,2655,0.6116760828625235,0.652425512870167,335,801,0.5292537313432836,0.5692883895131086,3143,0.5800190900413618,0.6293430126386794,316,932,0.5126582278481012,0.5375536480686696
hit_N20_k2.0,12,31,50,0.05,0.6,"35,47,1,26,14",25,1.116243402050538,0.20670138412036987,-0.3321169242934761,2655,0.6116760828625235,0.6410361054578826,335,801,0.5352238805970149,0.581772784019975,3143,0.5800190900413618,0.633799167663859,316,932,0.5113924050632912,0.5354077253218884
hit_N20_k2.0,13,31,50,0.05,0.8,"43,8,88,35,12",37,0.868997714859661,1.6127860357036101,-0.8882440457795153,2655,0.6116760828625235,0.698138372354962,335,801,0.5358208955223881,0.5830212234706617,3143,0.5800190900413618,0.6287372311229144,316,932,0.510759493670886,0.5343347639484979
hit_N20_k2.0,14,31,50,0.1,0.6,"8,2,1,8,12",6,0.9180948005506135,0.5529373922377885,-0.33605438190121895,2655,0.6116760828625235,0.6426495497699266,335,801,0.5346268656716417,0.5805243445692884,3143,0.5800190900413618,0.6116683714179014,316,932,0.510759493670886,0.5343347639484979
hit_N20_k2.0,15,31,50,0.1,0.8,"10,2,31,8,16",13,1.141336260445617,2.0414867691383445,-1.1832552005835306,2655,0.6116760828625235,0.7265964631275219,335,801,0.535223880597015,0.581772784019975,3143,0.5800190900413618,0.6134096286937172,316,932,0.5107594936708861,0.5343347639484979
hit_N20_k2.0,16,31,100,0.05,0.6,"1,8,47,19,63",28,0.9655625923426988,1.3918641941917083,-0.6972958615938735,2655,0.6116760828625235,0.665801450726289,335,801,0.5358208955223881,0.5830212234706617,3143,0.5800190900413618,0.6059542198250578,316,932,0.5139240506329114,0.5396995708154506
hit_N20_k2.0,17,31,100,0.05,0.8,"1,4,48,5,15",15,1.107961650604241,1.737017275243148,-0.9403941666377403,2655,0.6116760828625235,0.672862562273138,335,801,0.5298507462686567,0.5705368289637952,3143,0.5800190900413618,0.6211367796335595,316,932,0.5088607594936708,0.5311158798283262
hit_N20_k2.0,18,31,100,0.1,0.6,"1,4,44,5,11",13,1.4175742310900539,2.583721537468976,-1.5779198525049494,2655,0.6116760828625235,0.7214435225443953,335,801,0.5268656716417911,0.5642946317103621,3143,0.5800190900413618,0.6106111524792228,316,932,0.5018987341772152,0.51931330472103
hit_N20_k2.0,19,31,100,0.1,0.8,"1,4,84,14,14",23,1.077351329159775,1.9205991779169151,-1.0895385869906444,2655,0.6116760828625235,0.71117730679389,335,801,0.5340298507462686,0.5792759051186017,3143,0.5800190900413618,0.6156214628703327,316,932,0.5056962025316456,0.5257510729613734
hit_N20_k2.0,20,31,200,0.05,0.6,"1,1,27,64,170",53,1.2417289662587299,0.5619127004210996,-0.5775858657937157,2655,0.6116760828625235,0.6533280421129428,335,801,0.5352238805970149,0.581772784019975,3143,0.5800190900413618,0.6162204087633771,316,932,0.510126582278481,0.5332618025751072
hit_N20_k2.0,21,31,200,0.05,0.8,"1,1,23,62,8",19,0.5184630231859525,0.7476748292863911,-0.19395716080091935,2655,0.6116760828625235,0.6434305009380141,335,801,0.5298507462686567,0.5705368289637952,3143,0.5800190900413618,0.608583772782623,316,932,0.5063291139240507,0.526824034334764
hit_N20_k2.0,22,31,200,0.1,0.6,"1,1,54,21,14",18,1.0691669701485351,1.7300099688605008,-0.9357547394792144,2655,0.6116760828625235,0.6845356478033165,335,801,0.5346268656716417,0.5805243445692884,3143,0.5800190900413618,0.6259271110187372,316,932,0.5107594936708861,0.5343347639484979
hit_N20_k2.0,23,31,200,0.1,0.8,"1,1,29,39,11",16,0.9934282082731869,0.5443855121174627,-0.4175286795593786,2655,0.6116760828625235,0.652425512870167,335,801,0.5292537313432836,0.5692883895131086,3143,0.5800190900413618,0.6293430126386794,316,932,0.5126582278481012,0.5375536480686696
hit_N20_k2.0,24,63,50,0.05,0.6,"35,47,1,26,14",25,1.116243402050538,0.20670138412036987,-0.3321169242934761,2655,0.6116760828625235,0.6410361054578826,335,801,0.5352238805970149,0.581772784019975,3143,0.5800190900413618,0.6404783314573793,316,932,0.5139240506329114,0.5396995708154506
hit_N20_k2.0,25,63,50,0.05,0.8,"43,8,88,35,12",37,0.868997714859661,1.6127860357036101,-0.8882440457795153,2655,0.6116760828625235,0.698138372354962,335,801,0.5358208955223881,0.5830212234706617,3143,0.5800190900413618,0.6295147076781906,316,932,0.5082278481012658,0.5300429184549357
hit_N20_k2.0,26,63,50,0.1,0.6,"8,2,1,8,12",6,0.9180948005506135,0.5529373922377885,-0.33605438190121895,2655,0.6116760828625235,0.6426495497699266,335,801,0.5346268656716417,0.5805243445692884,3143,0.5800190900413618,0.618467073393015,316,932,0.509493670886076,0.5321888412017167
