candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_base_rate,train_oof_average_precision,train_oof_n_days,train_oof_n_selected,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_base_rate,val_average_precision,val_n_days,val_n_selected,val_precision_at_5_dayavg,val_precision_at_5_eventavg
hit_N20_k2.0,0,15,50,0.05,0.6,"2,28,204,63,32",66,-1.205810232389403,2.816564396185644,-0.00181076012670618,20795,0.5523443135369079,0.6208851369970099,1970,6131,0.5315482233502539,0.5410210406132768,10219,0.5973187200313143,0.6224533769204537,778,3083,0.5673093401885175,0.5663314952967888
hit_N20_k2.0,1,15,50,0.05,0.8,"113,25,16,70,38",52,0.45907963174171573,0.5807995314016242,-0.23865452307984486,20795,0.5523443135369079,0.5902165203709828,1970,6131,0.530228426395939,0.5389006687326701,10219,0.5973187200313143,0.6086735461222901,778,3083,0.571165381319623,0.5711968861498541
hit_N20_k2.0,2,15,50,0.1,0.6,"61,58,210,40,20",78,-2.090776028549796,3.0466005764475104,0.3242815933736108,20795,0.5523443135369079,0.6170737334687961,1970,6131,0.531243654822335,0.5405317240254445,10219,0.5973187200313143,0.6334740969948639,778,3083,0.5570265638389031,0.553357119688615
hit_N20_k2.0,3,15,50,0.1,0.8,"6,13,18,81,9",25,0.43047446292250674,0.528126149532231,-0.19044164924754223,20795,0.5523443135369079,0.5938244784514659,1970,6131,0.5325634517766498,0.5426520959060512,10219,0.5973187200313143,0.6096513702360673,778,3083,0.5652527849185947,0.563736620175154
hit_N20_k2.0,4,15,100,0.05,0.6,"1,47,8,73,11",28,0.7568495414053834,0.8967020012351207,-0.44850980674443663,20795,0.5523443135369079,0.6050268397648659,1970,6131,0.5307360406091371,0.5397161963790572,10219,0.5973187200313143,0.6052731603837824,778,3083,0.561139674378749,0.5585468699318845
hit_N20_k2.0,5,15,100,0.05,0.8,"59,6,63,18,37",37,0.5661487584560055,0.7539776756700342,-0.35689517103961155,20795,0.5523443135369079,0.597691977851694,1970,6131,0.529010152284264,0.5369434023813408,10219,0.5973187200313143,0.6043506792166947,778,3083,0.5631962296486719,0.5611417450535193
hit_N20_k2.0,6,15,100,0.1,0.6,"1,16,7,5,11",8,-2.667207865320747,4.025954684924987,0.4482196003052118,20795,0.5523443135369079,0.6109454357360383,1970,6131,0.5302284263959391,0.5389006687326701,10219,0.5973187200313143,0.5969249394678562,778,3083,0.5665381319622965,0.5653584171261758
hit_N20_k2.0,7,15,100,0.1,0.8,"7,133,26,3,3",34,-4.516245946837176,5.910754787800771,0.8165495534461793,20795,0.5523443135369079,0.6347883903663663,1970,6131,0.5270812182741116,0.5338443973250693,10219,0.5973187200313143,0.6058250120703091,778,3083,0.5590831191088261,0.5559519948102497
hit_N20_k2.0,8,15,200,0.05,0.6,"3,6,97,57,35",40,0.7937267336952667,1.08972630469813,-0.5571209127636648,20795,0.5523443135369079,0.6207435278490142,1970,6131,0.5294162436548223,0.5375958244984504,10219,0.5973187200313143,0.6120942897495214,778,3083,0.562682090831191,0.5604930262731106
hit_N20_k2.0,9,15,200,0.05,0.8,"35,13,55,131,13",49,0.6425282643636276,0.843905618731464,-0.40226462486272924,20795,0.5523443135369079,0.6053199683132245,1970,6131,0.5319543147208122,0.5416734627303865,10219,0.5973187200313143,0.6069940713460557,778,3083,0.5698800342759212,0.5695750891988323
hit_N20_k2.0,10,15,200,0.1,0.6,"4,8,22,11,8",11,0.9231258543547887,1.190858673030594,-0.6226668241718174,20795,0.5523443135369079,0.6175438915896245,1970,6131,0.5284010152284264,0.535964769205676,10219,0.5973187200313143,0.5771169905723506,778,3083,0.5649957155098544,0.5634122607849498
hit_N20_k2.0,11,15,200,0.1,0.8,"4,45,18,41,1",22,-0.8216529439834919,2.438443715957227,-0.10575583588777727,20795,0.5523443135369079,0.6176716125625381,1970,6131,0.5310406091370559,0.5402055129668896,10219,0.5973187200313143,0.6025176818639497,778,3083,0.5688517566409598,0.5682776516380149
hit_N20_k2.0,12,31,50,0.05,0.6,"37,19,53,39,52",40,0.6667294274738447,0.8915090885616425,-0.4494190976616669,20795,0.5523443135369079,0.6077284862860661,1970,6131,0.5337817258883248,0.5446093622573805,10219,0.5973187200313143,0.6313599530466045,778,3083,0.5698800342759212,0.5695750891988323
hit_N20_k2.0,13,31,50,0.05,0.8,"37,60,54,89,34",55,-0.8456286442645996,2.063926600239663,0.00467052561134235,20795,0.5523443135369079,0.6105376292820195,1970,6131,0.5320558375634519,0.541836568259664,10219,0.5973187200313143,0.622474953133874,778,3083,0.5750214224507284,0.5760622770029192
hit_N20_k2.0,14,31,50,0.1,0.6,"68,24,42,23,35",38,0.44254263730782084,0.611895661835989,-0.2590093264368536,20795,0.5523443135369079,0.6000659272763198,1970,6131,0.5335786802030458,0.5442831511988256,10219,0.5973187200313143,0.6335162684969893,778,3083,0.5693658954584405,0.5689263704184236
hit_N20_k2.0,15,31,50,0.1,0.8,"57,245,20,123,36",96,-0.15207444517099544,1.2381191341368651,-0.1658441645371598,20795,0.5523443135369079,0.6230022368437208,1970,6131,0.531751269035533,0.5413472516718316,10219,0.5973187200313143,0.6399499176453387,778,3083,0.5745072836332477,0.5754135582225105
hit_N20_k2.0,16,31,100,0.05,0.6,"1,8,40,54,10",23,0.7505406666619773,0.9895914655232428,-0.4796904143100643,20795,0.5523443135369079,0.6071160969805602,1970,6131,0.5305329949238579,0.5393899853205024,10219,0.5973187200313143,0.6201693775586805,778,3083,0.5608826049700085,0.5582225105416802
hit_N20_k2.0,17,31,100,0.05,0.8,"59,6,56,2,1",25,-1.908054671717028,2.5765491987292046,0.4513649470720762,20795,0.5523443135369079,0.5909294662521529,1970,6131,0.5253553299492386,0.5310716033273528,10219,0.5973187200313143,0.6070507089993289,778,3083,0.5577977720651243,0.554330197859228
hit_N20_k2.0,18,31,100,0.1,0.6,"1,59,19,3,5",17,-4.684588867583277,6.575654202065001,0.761566522176595,20795,0.5523443135369079,0.6406655412850091,1970,6131,0.5275888324873096,0.5346599249714565,10219,0.5973187200313143,0.6158440157839002,778,3083,0.561139674378749,0.5585468699318845
hit_N20_k2.0,19,31,100,0.1,0.8,"7,15,12,2,25",12,-4.30949664625518,4.735893060461622,1.0896133567886197,20795,0.5523443135369079,0.6003324124226778,1970,6131,0.5288071065989848,0.5366171913227858,10219,0.5973187200313143,0.5749404586369096,778,3083,0.5452013710368466,0.5384365877392151
hit_N20_k2.0,20,31,200,0.05,0.6,"3,6,99,42,42",38,0.8914482201937207,1.1514562004959645,-0.6214783553997537,20795,0.5523443135369079,0.6263831285736023,1970,6131,0.5320558375634519,0.541836568259664,10219,0.5973187200313143,0.6096213302336728,778,3083,0.5665381319622965,0.5653584171261758
hit_N20_k2.0,21,31,200,0.05,0.8,"35,13,31,57,43",36,0.6400202418428121,0.785710486926691,-0.39417548481522086,20795,0.5523443135369079,0.6045323529295822,1970,6131,0.5318527918781726,0.5415103572011091,10219,0.5973187200313143,0.6114235952565977,778,3083,0.568337617823479,0.5676289328576062
hit_N20_k2.0,22,31,200,0.1,0.6,"4,8,34,24,12",16,-0.6304221337146512,2.271831739972871,-0.13970369740778865,20795,0.5523443135369079,0.6173637896847304,1970,6131,0.5312436548223352,0.5405317240254445,10219,0.5973187200313143,0.6059726347650616,778,3083,0.5691088260497,0.5686020110282193
