candidate,label_cn,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,final_num_boost_round,val_n_events,val_base_rate,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg,val_n_days,train_oof_average_precision,train_oof_precision_at_5_dayavg
hit_N20_k2.0,背离狙击命中标签（T+1 开盘入场，20 交易日内触及 +2 倍 ATR(14)）,0,15,50,0.05,0.6,27,3143,0.5800190900413618,0.6282588395379161,0.5164556962025316,0.5439914163090128,316,0.6473822966448195,0.5352238805970149
cur_pos_3d,T 收盘入场收益大于零二分类标签（3 个交易日视野）,11,15,200,0.1,0.8,71,3144,0.4685114503816794,0.565796157005676,0.4496835443037975,0.4619506966773847,316,0.63223406277829,0.5080099502487563
cur_pos_5d,T 收盘入场收益大于零二分类标签（5 个交易日视野）,8,15,200,0.05,0.6,11,3144,0.4961832061068702,0.5682453396959143,0.4487341772151898,0.4683815648445874,316,0.5366765540998601,0.5046268656716418
cur_pos_10d,T 收盘入场收益大于零二分类标签（10 个交易日视野）,11,15,200,0.1,0.8,46,3144,0.5330788804071247,0.5816976290096332,0.4525316455696203,0.4930332261521972,316,0.637144290878148,0.5241293532338308
cur_pos_15d,T 收盘入场收益大于零二分类标签（15 个交易日视野）,11,15,200,0.1,0.8,20,3143,0.501749920458161,0.5599044253188422,0.4192510548523206,0.4581545064377682,316,0.7581357372025628,0.5225870646766169
cur_pos_20d,T 收盘入场收益大于零二分类标签（20 个交易日视野）,9,15,200,0.05,0.8,28,3143,0.5027044225262488,0.6347268050437764,0.4225738396624472,0.4603004291845493,316,0.7144187144658725,0.5027363184079603
cur_pos_25d,T 收盘入场收益大于零二分类标签（25 个交易日视野）,11,15,200,0.1,0.8,26,3143,0.5084314349347757,0.5668612852046779,0.4431434599156118,0.4721030042918455,316,0.6756660934463508,0.5244278606965175
cur_pos_30d,T 收盘入场收益大于零二分类标签（30 个交易日视野）,4,15,100,0.05,0.6,30,3143,0.5071587655106586,0.5077468336414055,0.4119198312236287,0.4506437768240343,316,0.6765750367261478,0.5345771144278606
cur_pos_45d,T 收盘入场收益大于零二分类标签（45 个交易日视野）,19,31,100,0.1,0.8,4,3141,0.4536771728748806,0.5031546095919723,0.4139240506329114,0.4328678839957035,316,0.6518111919149573,0.5028855721393036
cur_pos_60d,T 收盘入场收益大于零二分类标签（60 个交易日视野）,24,63,50,0.05,0.6,47,3138,0.4872530274059911,0.5436801865777656,0.428217299578059,0.4479054779806659,316,0.5334179173540268,0.4871641791044775
open_exec_pos_3d,T+1 开盘入场收益大于零二分类标签（3 个交易日视野）,26,63,50,0.1,0.6,54,3144,0.4646946564885496,0.5491068857787362,0.4450949367088608,0.4555198285101822,316,0.5899678809535169,0.517860696517413
open_exec_pos_5d,T+1 开盘入场收益大于零二分类标签（5 个交易日视野）,15,31,50,0.1,0.8,32,3144,0.4958651399491094,0.5506162227876941,0.4395042194092827,0.4598070739549839,316,0.5452325850347074,0.5377611940298507
open_exec_pos_10d,T+1 开盘入场收益大于零二分类标签（10 个交易日视野）,0,15,50,0.05,0.6,77,3144,0.5400763358778626,0.5606740105194314,0.4493670886075949,0.495176848874598,316,0.5686186988776427,0.5353731343283583
open_exec_pos_15d,T+1 开盘入场收益大于零二分类标签（15 个交易日视野）,7,15,100,0.1,0.8,19,3143,0.5030225898822781,0.5878316251409422,0.4248417721518987,0.463519313304721,316,0.7581161679002677,0.5296517412935323
open_exec_pos_20d,T+1 开盘入场收益大于零二分类标签（20 个交易日视野）,2,15,50,0.1,0.6,25,3143,0.5042952593063952,0.5695213235151505,0.4227848101265822,0.4592274678111588,316,0.730463742698643,0.5214925373134328
open_exec_pos_25d,T+1 开盘入场收益大于零二分类标签（25 个交易日视野）,3,15,50,0.1,0.8,28,3143,0.5071587655106586,0.553271973772497,0.43707805907173,0.4656652360515021,316,0.7052026784987382,0.528955223880597
open_exec_pos_30d,T+1 开盘入场收益大于零二分类标签（30 个交易日视野）,15,31,50,0.1,0.8,8,3143,0.5071587655106586,0.5086076152202154,0.4150843881856541,0.4570815450643777,316,0.6862435693652298,0.5273134328358208
open_exec_pos_45d,T+1 开盘入场收益大于零二分类标签（45 个交易日视野）,13,31,50,0.05,0.8,26,3141,0.452085323145495,0.479575745434924,0.4180907172995781,0.4403866809881847,316,0.6811259542843502,0.5011940298507462
open_exec_pos_60d,T+1 开盘入场收益大于零二分类标签（60 个交易日视野）,14,31,50,0.1,0.6,40,3138,0.4878903760356915,0.5442173724493155,0.4259493670886076,0.4403866809881847,316,0.5584508770939068,0.488955223880597
