candidate,label_cn,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,final_num_boost_round,val_n_events,val_base_rate,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg,val_n_days,train_oof_average_precision,train_oof_precision_at_5_dayavg
hit_N20_k2.0,背离狙击命中标签（T+1 开盘入场，20 交易日内触及 +2 倍 ATR(14)）,13,31,50,0.05,0.8,55,10219,0.5973187200313143,0.622474953133874,0.5750214224507284,0.5760622770029192,778,0.6105376292820195,0.5320558375634519
cur_pos_3d,T 收盘入场收益大于零二分类标签（3 个交易日视野）,25,63,50,0.05,0.8,97,10224,0.5025430359937402,0.5736791782500451,0.4672664952870608,0.4768233387358185,778,0.536900218167027,0.4856429780033841
cur_pos_5d,T 收盘入场收益大于零二分类标签（5 个交易日视野）,32,63,200,0.05,0.6,101,10224,0.5237676056338029,0.6087889265576761,0.4806555269922879,0.4901134521880065,778,0.5105623271946791,0.4869458544839255
cur_pos_10d,T 收盘入场收益大于零二分类标签（10 个交易日视野）,3,15,50,0.1,0.8,31,10220,0.5464774951076321,0.5861542868235563,0.4877677806341046,0.4910801167693804,778,0.5857841072507192,0.5057529610829102
cur_pos_15d,T 收盘入场收益大于零二分类标签（15 个交易日视野）,19,31,100,0.1,0.8,46,10219,0.5350817105391917,0.6044642751769214,0.4833547557840618,0.4965942264028544,778,0.6391711849572296,0.4983333333333333
cur_pos_20d,T 收盘入场收益大于零二分类标签（20 个交易日视野）,32,63,200,0.05,0.6,56,10219,0.5490752519816029,0.613330022890293,0.4770351328191945,0.4927019137204022,778,0.6523224128719485,0.4942470389170897
cur_pos_25d,T 收盘入场收益大于零二分类标签（25 个交易日视野）,7,15,100,0.1,0.8,45,10216,0.5370007830853563,0.5794460048968032,0.4715724078834619,0.4957819597663854,778,0.6348894816334093,0.4910067681895093
cur_pos_30d,T 收盘入场收益大于零二分类标签（30 个交易日视野）,1,15,50,0.05,0.8,56,10214,0.5335813589191306,0.5716364868358992,0.4809768637532134,0.5008114248620578,778,0.6504741145209962,0.4835617597292723
cur_pos_45d,T 收盘入场收益大于零二分类标签（45 个交易日视野）,1,15,50,0.05,0.8,57,10202,0.5177416192903352,0.503558827083705,0.484062634062634,0.5037349788892498,777,0.604547641922327,0.4618443316412859
cur_pos_60d,T 收盘入场收益大于零二分类标签（60 个交易日视野）,16,31,100,0.05,0.6,54,10194,0.5102020796546989,0.5436133162060468,0.4793007293007293,0.4960988296488947,777,0.5947895550107569,0.4443993231810491
open_exec_pos_3d,T+1 开盘入场收益大于零二分类标签（3 个交易日视野）,12,31,50,0.05,0.6,170,10224,0.5068466353677621,0.579339706595827,0.4711439588688945,0.479740680713128,778,0.5127960970598642,0.501243654822335
open_exec_pos_5d,T+1 开盘入场收益大于零二分类标签（5 个交易日视野）,13,31,50,0.05,0.8,51,10224,0.5273865414710485,0.6205711430759449,0.4802699228791773,0.4875202593192869,778,0.5062410563230704,0.4950930626057529
open_exec_pos_10d,T+1 开盘入场收益大于零二分类标签（10 个交易日视野）,27,63,50,0.1,0.8,11,10220,0.5493150684931507,0.5789395617931355,0.4906383890317052,0.5004865390853065,778,0.5851759676436143,0.5085786802030456
open_exec_pos_15d,T+1 开盘入场收益大于零二分类标签（15 个交易日视野）,7,15,100,0.1,0.8,76,10219,0.5357667090713377,0.592430609771688,0.4801628106255355,0.4965942264028544,778,0.6325355476757755,0.504238578680203
open_exec_pos_20d,T+1 开盘入场收益大于零二分类标签（20 个交易日视野）,20,31,200,0.05,0.6,53,10219,0.5483902534494569,0.5844283643226842,0.4744644387317909,0.4933506325008109,778,0.6238624000319197,0.4934517766497461
open_exec_pos_25d,T+1 开盘入场收益大于零二分类标签（25 个交易日视野）,14,31,50,0.1,0.6,37,10216,0.5371965544244323,0.5739094122273426,0.4779777206512425,0.4990266060999351,778,0.6508696250425934,0.4962521150592216
open_exec_pos_30d,T+1 开盘入场收益大于零二分类标签（30 个交易日视野）,26,63,50,0.1,0.6,46,10214,0.5340708831016252,0.5996146630962984,0.4849185946872322,0.5040571243102888,778,0.6585021022456354,0.4790693739424704
open_exec_pos_45d,T+1 开盘入场收益大于零二分类标签（45 个交易日视野）,13,31,50,0.05,0.8,49,10202,0.5175455792981768,0.5262733455852968,0.4864435864435865,0.5047093212081845,777,0.5924114425772099,0.4598646362098138
open_exec_pos_60d,T+1 开盘入场收益大于零二分类标签（60 个交易日视野）,13,31,50,0.05,0.8,36,10194,0.5097115950559152,0.5088821979238495,0.4759330759330759,0.4899219765929778,777,0.5874943226469711,0.4462351945854483
