feature,main_train_ic,main_train_icir,main_train_days,main_val_ic,main_val_icir,main_val_days,main_year_share,main_n_years,main_rho_thr,main_pthr_ic_val,main_pthr_icir_val,main_pthr_days_val,main_pthr_ic_train,main_pthr_icir_train,main_pthr_days_train,main_patrn_ic_val,main_patrn_icir_val,backup_train_ic,backup_train_icir,backup_train_days,backup_val_ic,backup_val_icir,backup_val_days,backup_year_share,backup_n_years,backup_rho_thr,backup_pthr_ic_val,backup_pthr_icir_val,backup_pthr_days_val,backup_pthr_ic_train,backup_pthr_icir_train,backup_pthr_days_train,backup_patrn_ic_val,backup_patrn_icir_val,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,main_train_ic_nost,main_train_icir_nost,main_train_days_nost,main_val_ic_nost,main_val_icir_nost,main_val_days_nost,main_year_share_nost,main_n_years_nost,backup_train_ic_nost,backup_train_icir_nost,backup_train_days_nost,backup_val_ic_nost,backup_val_icir_nost,backup_val_days_nost,backup_year_share_nost,backup_n_years_nost,main_pass,main_fail,backup_pass,backup_fail,decision,decision_reason,geo_verdict
TURN20,0.02756,0.08828,70,-0.06130,-0.18654,100,0.00000,4,0.54586,-0.00153,-0.00598,59.00000,0.09749,0.40487,52.00000,-0.00293,-0.01150,-0.01396,-0.03900,594,-0.00650,-0.01678,326,0.57895,19,0.62378,0.04999,0.19259,184.00000,-0.02314,-0.09352,356.00000,0.05009,0.19112,,,,,0.43301,-0.27973,,0.21822,0.31053,0.23870,-0.00683,0.52223,0.26558,-0.08465,0.20240,-0.05275,-0.05985,,0.18353,-0.09313,-0.06218,-0.04524,,,,,,,,,,,,,,,,,False,符号相反;年度一致率0.00<0.55,False,|val ICIR|=-0.017<0.1,淘汰,主池三关未过: 符号相反;年度一致率0.00<0.55,"非几何(ρ_thr=0.55,偏相关保留178%)"
ABTURN,-0.03462,-0.10192,70,-0.00736,-0.02218,100,0.75000,4,-0.14087,0.02117,0.08183,59.00000,-0.02068,-0.08287,52.00000,0.01917,0.07390,-0.02150,-0.06217,594,0.03471,0.09743,326,0.52632,19,-0.30934,-0.02943,-0.11260,184.00000,-0.01871,-0.07399,356.00000,-0.03035,-0.11629,,,,,0.37115,0.19197,,-0.13093,-0.41404,0.47918,-0.22272,0.52223,-0.08523,-0.23373,0.10961,-0.02941,-0.17343,,0.34895,-0.00957,-0.08657,0.06633,,,,,,,,,,,,,,,,,False,|val ICIR|=-0.022<0.1,False,符号相反;年度一致率0.53<0.55;|val ICIR|=0.097<0.1,淘汰,主池三关未过: |val ICIR|=-0.022<0.1,"非几何(ρ_thr=-0.14,偏相关保留174%)"
STDTURN20,0.03092,0.10014,70,-0.06483,-0.21385,100,0.00000,4,0.39496,-0.02877,-0.11618,59.00000,0.05232,0.22853,52.00000,-0.02915,-0.11728,-0.02665,-0.07601,594,0.00542,0.01464,326,0.63158,19,0.54598,0.02226,0.09164,184.00000,-0.04180,-0.16829,356.00000,0.02176,0.08933,,,,,0.37115,-0.02974,,0.08729,0.00000,0.42804,-0.16143,0.34816,0.20719,-0.14728,0.18361,-0.01862,-0.02265,,0.32005,-0.10512,-0.07129,-0.04295,,,,,,,,,,,,,,,,,False,符号相反;年度一致率0.00<0.55,False,符号相反;|val ICIR|=0.015<0.1,淘汰,主池三关未过: 符号相反;年度一致率0.00<0.55,"非几何(ρ_thr=0.39,偏相关保留107%)"
FLOAT_MCAP,-0.11593,-0.39098,70,0.03045,0.07730,100,0.25000,4,0.00011,-0.01968,-0.06731,59.00000,-0.12344,-0.49744,52.00000,-0.01833,-0.06317,-0.02510,-0.06945,594,-0.02071,-0.05623,326,0.63158,19,-0.03993,-0.04076,-0.14737,184.00000,-0.02352,-0.08880,356.00000,-0.04221,-0.15240,,,,,0.12372,-0.28916,,-0.32733,-0.51755,-0.07448,-0.17729,-0.26112,-0.16094,0.02718,-0.24080,-0.13159,0.10443,,-0.57184,0.00822,0.03687,0.08317,,,,,,,,,,,,,,,,,False,符号相反;年度一致率0.25<0.55;|val ICIR|=0.077<0.1,False,|val ICIR|=-0.056<0.1,淘汰,主池三关未过: 符号相反;年度一致率0.25<0.55;|val ICIR|=0.077<0.1,"非几何(ρ_thr=0.00,偏相关保留86%)"
LIMITCNT20_X,-0.00562,-0.01753,57,-0.11571,-0.36302,87,1.00000,4,0.54171,-0.06030,-0.24892,55.00000,-0.01448,-0.05991,43.00000,-0.05987,-0.24657,-0.03608,-0.11446,401,-0.02853,-0.07359,221,0.64286,14,0.46492,-0.02956,-0.10100,154.00000,-0.03283,-0.13990,268.00000,-0.03354,-0.11534,,,,,,,,-0.21884,0.37115,,0.02664,-0.16667,0.07087,-0.20222,0.19282,-0.02051,-0.00296,,0.24800,-0.14543,-0.13177,-0.07342,,,,,,,,,,,,,,,,,True,,False,|val ICIR|=-0.074<0.1,B,主池过、备池未过: |val ICIR|=-0.074<0.1,"非几何(ρ_thr=0.54,偏相关保留155%)"
LIMITDOWN_CNT20_X,0.06499,0.23966,22,0.00300,0.01201,17,0.00000,1,0.72218,,,0.00000,,,0.00000,,,-0.04789,-0.16115,251,-0.07725,-0.19103,54,0.77778,9,0.72089,-0.01552,-0.05467,42.00000,0.00326,0.01476,194.00000,-0.00998,-0.03490,,,,,,,,0.03648,0.37115,,,,,,0.24621,-0.04446,0.01131,,,-0.02939,0.05616,0.01228,,,,,,,,,,,,,,,,,False,年度一致率0.00<0.55;|val ICIR|=0.012<0.1,True,,淘汰,主池三关未过: 年度一致率0.00<0.55;|val ICIR|=0.012<0.1,"偏相关样本不足(ρ_thr=0.72, 有效日 0, 日内近恒定), 不作几何判定"
DIST_LIMIT_X,0.05559,0.19740,66,0.01456,0.04273,100,0.75000,4,-0.18239,-0.01904,-0.07194,59.00000,0.05953,0.27257,50.00000,-0.01768,-0.06652,-0.02785,-0.08499,486,-0.00716,-0.02080,326,0.50000,14,0.53270,-0.01202,-0.05092,184.00000,-0.02462,-0.10257,292.00000,-0.01380,-0.05865,,,,,,,,0.17457,-0.20702,0.21447,-0.11854,0.52223,0.14775,-0.03444,0.13327,0.01618,0.10622,,-0.34164,0.05910,-0.02472,0.04131,,,,,,,,,,,,,,,,,False,|val ICIR|=0.043<0.1,False,年度一致率0.50<0.55;|val ICIR|=-0.021<0.1,淘汰,主池三关未过: |val ICIR|=0.043<0.1,"非几何(ρ_thr=-0.18,偏相关保留119%)"
IND_REL_STR,-0.10121,-0.31521,70,-0.08216,-0.26241,100,1.00000,4,0.15401,-0.04041,-0.16963,54.00000,-0.06456,-0.24570,46.00000,-0.04277,-0.17819,-0.01945,-0.05684,590,0.01681,0.04743,324,0.73684,19,-0.22160,-0.04853,-0.20370,170.00000,-0.02505,-0.10045,310.00000,-0.05171,-0.21477,,,,,0.29608,-0.21131,,-0.04357,-0.60609,0.02630,0.01338,0.53033,-0.07597,-0.21728,-0.13078,-0.04467,-0.27462,,0.31274,-0.01970,-0.14267,-0.09585,,,,,,,,,,,,,,,,,True,,False,符号相反;|val ICIR|=0.047<0.1,B,主池过、备池未过: 符号相反;|val ICIR|=0.047<0.1,"非几何(ρ_thr=0.15,偏相关保留56%)"
IND_MOM20,0.06096,0.18974,70,-0.01877,-0.05395,99,0.75000,4,-0.03459,0.02936,0.12662,54.00000,0.03089,0.11477,46.00000,0.03045,0.13037,0.00905,0.02515,588,0.05565,0.15496,323,0.72222,18,-0.55341,0.08774,0.33196,170.00000,-0.02079,-0.08292,310.00000,0.08668,0.32995,,,,,0.04957,-0.15171,,-0.04372,0.58514,0.10455,-0.28177,-0.17678,0.23548,0.15180,0.05889,0.05232,-0.04113,,-0.36391,-0.12534,0.04202,0.03584,,,,,,,,,,,,,,,,,False,符号相反;|val ICIR|=-0.054<0.1,True,,淘汰,主池三关未过: 符号相反;|val ICIR|=-0.054<0.1,"非几何(ρ_thr=-0.03,偏相关保留104%)"
IND_RS_RANK,0.06096,0.18974,70,-0.01877,-0.05395,99,0.75000,4,0.09110,0.02936,0.12662,54.00000,0.03089,0.11477,46.00000,0.03045,0.13037,0.00905,0.02515,588,0.05565,0.15496,323,0.72222,18,-0.07364,0.08774,0.33196,170.00000,-0.02079,-0.08292,310.00000,0.08668,0.32995,,,,,0.04957,-0.15171,,-0.04372,0.58514,0.10455,-0.28177,-0.17678,0.23548,0.15180,0.05889,0.05232,-0.04113,,-0.36391,-0.12534,0.04202,0.03584,,,,,,,,,,,,,,,,,False,符号相反;|val ICIR|=-0.054<0.1,True,,淘汰,主池三关未过: 符号相反;|val ICIR|=-0.054<0.1,"非几何(ρ_thr=0.09,偏相关保留104%)"
