pool,segment,filter_set,n_events,n_days,event_weighted_hit,day_weighted_hit
main,train,raw,2838,407,0.6155743598937988,0.5471497774124146
main,train,excl_st,2759,395,0.6114534139633179,0.5355430245399475
main,train,excl_limitup,2826,405,0.6142958402633667,0.542243242263794
main,train,excl_suspend,2829,404,0.6161187887191772,0.5487453937530518
main,train,excl_combined,2740,390,0.610948920249939,0.5321690440177917
main,val,raw,3143,316,0.5800191164016724,0.4997272193431854
main,val,excl_st,2972,294,0.5834454894065857,0.5031311511993408
main,val,excl_limitup,3132,313,0.5804597735404968,0.4983848035335541
main,val,excl_suspend,3135,315,0.5802232623100281,0.4982253313064575
main,val,excl_combined,2961,292,0.5839243531227112,0.5032867789268494
backup,train,raw,20123,2154,0.5351587533950806,0.5056433081626892
backup,train,excl_st,19132,2060,0.5341835618019104,0.498195081949234
backup,train,excl_limitup,19927,2129,0.5346012711524963,0.5018096566200256
backup,train,excl_suspend,19970,2141,0.5346519947052002,0.5028712749481201
backup,train,excl_combined,18833,2025,0.5334784388542175,0.492364764213562
backup,val,raw,7076,735,0.6050028204917908,0.5573316812515259
backup,val,excl_st,6764,705,0.6070372462272644,0.5567321181297302
backup,val,excl_limitup,7030,733,0.6036984324455261,0.5543675422668457
backup,val,excl_suspend,7050,733,0.6056737303733826,0.55793696641922
backup,val,excl_combined,6711,702,0.6067650318145752,0.5560504198074341
