ts_code,n_st_intervals,st_days,viol_gt_5p5,bind_ge_4p8,nonst_days_gt_5p5,unseal_first_days,unseal_first_day_gt_5p5,st_start_dates
000511.SZ,2,341,0,75,479,2,2,"1998-04-28,2016-11-22"
600758.SH,1,1120,1,175,395,1,1,2003-04-29
000048.SZ,3,2480,0,311,264,3,1,"2001-05-08,2007-04-26,2018-07-02"
000809.SZ,4,1201,0,97,371,4,2,"2003-02-24,2017-04-26,2022-04-29,2024-04-29"
600090.SH,2,1266,1,246,294,2,2,"2003-11-25,2020-07-01"
000862.SZ,1,375,1,80,441,1,1,2005-04-27
000655.SZ,2,337,1,49,448,2,0,"2006-06-12,2018-04-13"
000681.SZ,1,350,1,123,539,1,1,2007-06-29
600727.SH,1,430,1,52,344,1,0,2009-05-04
000899.SZ,1,252,0,17,423,1,1,2012-04-12
002006.SZ,1,92,0,8,553,1,1,2014-04-29
002423.SZ,1,225,0,19,289,1,1,2016-05-03
600399.SH,1,574,0,120,495,1,1,2018-09-21
002586.SZ,1,1757,6,238,95,1,0,2019-05-29
600280.SH,1,251,0,50,460,1,0,2020-05-06
600593.SH,1,197,0,27,433,1,1,2021-07-22
002118.SZ,1,30,1,19,433,0,0,2023-05-05
002602.SZ,1,244,0,46,201,1,0,2024-11-08
002689.SZ,1,182,0,15,292,0,0,2025-12-02
600439.SH,1,21,1,1,310,0,0,2026-08-03
