segment,config,pool,selection,exit_rule,n_slots,horizon,seed,elapsed_s,ann_return,max_dd,sharpe,calmar,turnover,cost_ratio,utilization,coverage,final_equity,n_trades,entered,total_signals,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
val,main_S0_E1_N10,main,S0,E1,10,20,42,0.36,-0.10945668581248402,-0.4650802486463579,-0.4751097056960584,-0.23535010598937245,6.276009550071752,,0.5396575761226423,0.07916538815587604,641658.4516370018,248,258,3259,,,,,-0.11703781157424964,-0.036932836370253797,-9.759967954081628e-05,-0.2453464375699661,,,,
val,main_S0_E2_N10,main,S0,E2,10,20,42,0.4,-0.08735727171823338,-0.41450455539290376,-0.4878715945894428,-0.21075105347256917,8.87502750707864,,0.47430657581889224,0.10923596195151887,704775.3276901515,348,356,3259,,,,,-0.05699677804934855,0.049059052630730626,-0.011094429308216802,-0.27958498404069365,,,,
val,main_S0_E3_N10,main,S0,E3,10,20,42,0.31,-0.142057589026513,-0.5110853068281502,-1.0330302624805645,-0.27795279404163953,10.341999609363494,,0.3844639507167976,0.13777232279840443,556301.1971830443,441,449,3259,,,,,-0.13289153967192135,-0.2962558432731115,0.07348799539960238,-0.15077146816832532,,,,
val,main_S0_E4_N10,main,S0,E4,10,20,42,0.29,-0.12889436463216974,-0.42969563608983274,-1.2838131281082048,-0.29996665966889857,14.616821908393153,,0.26999756346550785,0.18748082233814053,589685.0985502293,605,611,3259,,,,,-0.06778655073546824,-0.06672716898116093,-0.1351356720784037,-0.21630300550802994,,,,
val,main_S1_E1_N10,main,S1,E1,10,20,42,0.34,-0.09953525319532275,-0.4628513539778356,-0.4425023095139877,-0.21504798968372285,6.2158085155517915,,0.5418515821430959,0.07824486038662166,669453.8598347525,245,255,3259,,,,,-0.12307964487374978,0.031281785289157815,-0.03695154900416964,-0.23133870267083745,,,,
val,main_S1_E2_N10,main,S1,E2,10,20,42,0.37,-0.0243967866882826,-0.39174217550355084,-0.07257031694154072,-0.06227766172208196,9.156573767071519,,0.470187496461249,0.1104633323105247,909794.0500322855,351,360,3259,,,,,-0.03957314050121352,0.27431512172178363,-0.004744574177848571,-0.2530914953996508,,,,
val,main_S1_E3_N10,main,S1,E3,10,20,42,0.38,-0.10894234482784781,-0.3884186857893861,-0.705520687338077,-0.2804765805909762,10.672079076194473,,0.38455051933969936,0.13593126725989568,643078.0697888171,437,443,3259,,,,,-0.13760928505912773,-0.21510165105452417,0.19769636223058962,-0.20676935947474895,,,,
val,main_S1_E4_N10,main,S1,E4,10,20,42,0.34,-0.08974795852146367,-0.3405038383916311,-0.8439964858762288,-0.26357399947497767,14.79803676963039,,0.2804745890900698,0.1856397667996318,697735.196336387,599,605,3259,,,,,-0.0722604056370959,-0.02047137184030534,-0.10578281925449551,-0.14137328703965057,,,,
val,main_S2_E1_N10,main,S2,E1,10,20,42,0.3,-0.14132629985417733,-0.511537566802237,-0.7244465397320817,-0.2762774603977713,6.145127872052667,,0.5410857730262219,0.07824486038662166,558118.3073220018,245,255,3259,,,,,-0.13655489960074974,-0.18144477806528458,0.017458712256085862,-0.22388377849870666,,,,
val,main_S2_E2_N10,main,S2,E2,10,20,42,0.4,-0.09162131873314439,-0.39410837367735274,-0.5216568343241178,-0.23247747282871134,8.735585640003341,,0.48096486298659064,0.1083154341822645,692254.9090279179,343,353,3259,,,,,-0.07168472599585685,-0.024308681324519466,0.050957023415817426,-0.2727677159184948,,,,
