config,strategy_class,tp,sl,horizon,n_slots,ann_return,excess_ann,max_dd,sharpe,calmar,turnover,n_trades,coverage,utilization,exits_tp,exits_sl,exits_horizon,exits_rank_out,exits_score_drop,elapsed_s
A1,A,0.2,-0.1,16,3,-0.13035110482869905,-0.2233410771600245,-0.5141034972775415,-0.39914286667906623,-0.25355031723958166,15.463671056319487,180,0.017619420516836334,0.8061808473151735,20,56,104,0,0,0.4
A2,A,0.2,-0.14,16,3,0.019422620063630047,-0.0735673522676954,-0.3990124723775168,0.20707959810286122,0.04867672418333271,13.2819113343775,152,0.014976507439310885,0.8170535920778623,23,24,105,0,0,0.34
A3,A,0.2,-0.18,16,3,0.010241814918136027,-0.08274815741318942,-0.4129052738472264,0.1615527810587225,0.024804272473219764,11.602760157949053,134,0.01321456538762725,0.8079488296996958,19,14,101,0,0,0.31
A4,A,0.25,-0.1,16,3,-0.02549615653252213,-0.11848612886384757,-0.4801815100068493,0.0180425880505548,-0.053096914398387506,13.21433180190594,154,0.015172278778386844,0.8083083838594903,13,46,95,0,0,0.28
A5,A,0.25,-0.14,16,3,-0.06423172241848996,-0.1572216947498154,-0.511002508276712,-0.14292907554518913,-0.12569746993043712,12.705796944359891,146,0.014389193422083007,0.7958107845708384,13,21,112,0,0,0.28
A6,A,0.25,-0.18,16,3,-0.07708010850475855,-0.170070080836084,-0.4177590436676979,-0.22607064835119867,-0.184508533503038,11.365981526491973,129,0.012725137039937353,0.8097378758106997,10,12,107,0,0,0.31
A7,A,0.3,-0.1,16,3,-0.07851073193520464,-0.17150070426653008,-0.47263377799141304,-0.17366342389133144,-0.16611324791227902,15.290663143926867,178,0.017423649177760375,0.8088912102492698,9,55,114,0,0,0.3
A8,A,0.3,-0.14,16,3,0.05058715629448374,-0.042402816036841706,-0.45372804105626385,0.32584302337335297,0.1114922414244412,12.390111022630448,146,0.014389193422083007,0.7784001347698414,13,21,112,0,0,0.27
A9,A,0.3,-0.18,16,3,-0.147546755063517,-0.24053672739484244,-0.5450707879797902,-0.5023246751447693,-0.27069283167856656,12.732506074254564,144,0.014193422083007048,0.8381341379939207,9,17,118,0,0,0.27
A10,A,0.35,-0.1,16,3,-0.1184724613069561,-0.21146243363828154,-0.5106073647100875,-0.32555451261642065,-0.2320226253967613,15.597376347717532,181,0.017717306186374314,0.8069706330471071,7,61,113,0,0,0.35
A11,A,0.35,-0.14,16,3,-0.10626301215984335,-0.1992529844911688,-0.5781526533263567,-0.3075314254960696,-0.18379749975800908,12.13760853971312,139,0.01370399373531715,0.8113852210432352,4,19,116,0,0,0.28
A12,A,0.35,-0.18,16,3,-0.053668550667204884,-0.14665852299853033,-0.5182323535896092,-0.11709945096556185,-0.10356078754146114,10.70527947576538,124,0.012235708692247455,0.785950718484115,6,12,106,0,0,0.25
A13,A,0.25,-0.14,12,3,0.2532735756037785,0.16028360327245306,-0.33907241450811965,0.9877543582907086,0.7469601323103606,18.171872222915212,213,0.020849647611589663,0.7772316156036074,15,27,171,0,0,0.34
A14,A,0.25,-0.14,20,3,-0.010832792920343004,-0.10382276525166845,-0.41854660675836364,0.12809674663773993,-0.025881927473365037,13.048905277836647,154,0.015074393108848864,0.8302786264499645,24,36,94,0,0,0.35
A15,A,0.25,-0.14,16,2,-0.04635563483454708,-0.13934560716587252,-0.5290340447262,-0.01958052788580815,-0.08762316016644695,12.084743426681413,92,0.009103367267032106,0.7981467955940681,10,14,68,0,0,0.19
A16,A,0.25,-0.14,16,5,0.029556911120108387,-0.06343306121121706,-0.3490557795122893,0.24775876910259903,0.08467675613738912,11.61391593747127,224,0.022122161315583398,0.7985392385969464,23,39,162,0,0,0.38
A17,A,0.2,-0.1,12,3,-0.060082000151363446,-0.1530719724826889,-0.46608465765935525,-0.08978931802711666,-0.12890791225158768,19.48621330032638,227,0.022220046985121377,0.7670135995436816,26,57,144,0,0,0.33
A18,A,0.35,-0.18,20,3,-0.09250654785350498,-0.18549652018483043,-0.6151503784201539,-0.18557384611505343,-0.15038038030811726,11.1227614036156,131,0.012920908379013312,0.8491904553747275,8,19,104,0,0,0.33
A19,A,0.2,-0.18,20,3,0.0913081967103988,-0.00168177562092664,-0.3163678234162287,0.4370476847522071,0.2886140433765584,12.673862606850019,148,0.014487079091620987,0.8283400079290102,33,22,93,0,0,0.29
A20,A,0.35,-0.1,12,3,0.03229814337464143,-0.06069182895668401,-0.40948721810476674,0.2571856126903766,0.07887460693920365,16.091541800505677,188,0.01850039154267815,0.7832673874603026,7,51,130,0,0,0.29
