config,strategy_class,tp,sl,horizon,n_slots,vol_lookback,vol_high_thresh,vol_low_thresh,vol_profit_mult,vol_stop_mult,low_vol_profit_mult,ann_return,excess_ann,max_dd,sharpe,calmar,turnover,n_trades,coverage,utilization,exits_tp,exits_sl,exits_horizon,exits_rank_out,exits_score_drop,elapsed_s
B1,B,0.25,-0.14,16,3,21,1.8,0.6,1.5,1.1,1.0,-0.05271236719047345,-0.1457023395217989,-0.4809861699967082,-0.08589062338991041,-0.10959227204148969,12.738066498787306,146,0.014389193422083007,0.8055552853175886,11,22,113,0,0,0.3
B2,B,0.25,-0.14,16,3,14,1.8,0.6,1.5,1.1,1.0,-0.05271236719047345,-0.1457023395217989,-0.4809861699967082,-0.08589062338991041,-0.10959227204148969,12.738066498787306,146,0.014389193422083007,0.8055552853175886,11,22,113,0,0,0.3
B3,B,0.25,-0.14,16,3,21,2.5,0.6,1.5,1.1,1.0,-0.05379123188300483,-0.14678120421433027,-0.5087748371137341,-0.08886183138316102,-0.10572698954248806,12.735352220609053,146,0.014389193422083007,0.8059237244215641,12,20,114,0,0,0.37
B4,B,0.25,-0.14,16,3,21,1.8,0.4,1.5,1.1,1.0,-0.05271236719047345,-0.1457023395217989,-0.4809861699967082,-0.08589062338991041,-0.10959227204148969,12.738066498787306,146,0.014389193422083007,0.8055552853175886,11,22,113,0,0,0.3
B5,B,0.25,-0.14,16,3,21,1.8,0.8,1.5,1.1,1.0,-0.05271236719047345,-0.1457023395217989,-0.4809861699967082,-0.08589062338991041,-0.10959227204148969,12.738066498787306,146,0.014389193422083007,0.8055552853175886,11,22,113,0,0,0.3
B6,B,0.25,-0.14,16,3,21,1.8,0.6,1.2,1.1,1.0,0.006686536450344116,-0.08630343588098133,-0.4620676545241099,0.15622767162577825,0.014470903524356569,12.685924813384915,148,0.014584964761158966,0.7862957474933352,14,23,111,0,0,0.3
B7,B,0.25,-0.14,16,3,21,1.8,0.6,2.0,1.1,1.0,0.024295871520864987,-0.06869410081046046,-0.4809861699967082,0.22477200305256734,0.050512619772479665,12.533730142967226,145,0.014291307752545028,0.79972396366833,13,20,112,0,0,0.38
B8,B,0.25,-0.14,16,3,21,1.8,0.6,1.5,1.5,1.0,-0.04931679479207196,-0.1423067671233974,-0.4809861699967082,-0.0888537307604948,-0.10253266698377103,12.482008794065948,143,0.014095536413469069,0.8065843483752857,10,18,115,0,0,0.3
B9,B,0.25,-0.14,16,3,21,1.8,0.6,1.5,1.1,0.8,-0.11224926564554538,-0.20523923797687083,-0.4917818912552838,-0.34807288046494034,-0.22825009956960132,12.968751169881886,148,0.014584964761158966,0.828710346403928,15,24,109,0,0,0.31
B10,B,0.2,-0.14,16,3,21,1.8,0.6,1.5,1.1,1.0,-0.09888454852065975,-0.1918745208519852,-0.46975981357207386,-0.3101942951292644,-0.2105002294017817,12.979750214321816,147,0.014487079091620987,0.8263943581477483,15,23,109,0,0,0.3
B11,B,0.3,-0.14,16,3,21,1.8,0.6,1.5,1.1,1.0,0.0515117491876107,-0.04147822314371474,-0.4807323611801072,0.33086753954083625,0.1071526557129607,12.267852715777668,144,0.014193422083007048,0.7862138923902683,10,20,114,0,0,0.3
B12,B,0.35,-0.14,16,3,21,1.8,0.6,1.5,1.1,1.0,-0.096277475032294,-0.18926744736361945,-0.5781526533263567,-0.26366960490816793,-0.16652604546285307,12.185314988990761,140,0.01380187940485513,0.8095582463958495,4,22,114,0,0,0.3
B13,B,0.25,-0.1,16,3,21,1.8,0.6,1.5,1.1,1.0,-0.10338347715302587,-0.19637344948435131,-0.4130340316879233,-0.30855268425773347,-0.2503025640055236,14.980833857066221,174,0.017032106499608457,0.8135247064412804,8,50,116,0,0,0.44
B14,B,0.25,-0.18,16,3,21,1.8,0.6,1.5,1.1,1.0,-0.1462554919580772,-0.23924546428940263,-0.5374674398075375,-0.47360301075062433,-0.2721197250766484,12.684246779384408,143,0.014095536413469069,0.829058792628866,10,16,117,0,0,0.29
B15,B,0.25,-0.14,12,3,21,1.8,0.6,1.5,1.1,1.0,0.2540334234774986,0.16104345114617313,-0.36033452762812557,0.9836746209547038,0.704993288180442,18.111750676431875,212,0.020751761942051684,0.7778385529983951,14,27,171,0,0,0.35
B16,B,0.25,-0.14,20,3,21,1.8,0.6,1.5,1.1,1.0,-0.016628246207033515,-0.10961821853835896,-0.41854660675836364,0.11445654297164275,-0.039728541430114554,12.86502376789571,152,0.014878621769772905,0.833833751235139,21,34,97,0,0,0.32
B17,B,0.25,-0.14,16,5,21,1.8,0.6,1.5,1.1,1.0,0.07246716357674354,-0.0205228087545819,-0.30033386209636626,0.43935959951864084,0.24128868809835188,11.326023875526678,222,0.02192638997650744,0.7757018119616231,24,37,161,0,0,0.41
B18,B,0.25,-0.14,16,3,21,2.5,0.6,2.0,1.1,1.0,-0.05379123188300483,-0.14678120421433027,-0.5087748371137341,-0.08886183138316102,-0.10572698954248806,12.735352220609053,146,0.014389193422083007,0.8059237244215641,12,20,114,0,0,0.4
B19,B,0.35,-0.14,16,3,21,2.5,0.6,2.0,1.1,1.0,-0.1083187729041436,-0.20130874523546904,-0.5781526533263567,-0.3203233123084575,-0.18735324015368587,12.208782872676009,140,0.01380187940485513,0.8107396184070685,5,21,114,0,0,0.3
B20,B,0.25,-0.14,16,3,14,1.8,0.4,1.2,1.1,1.0,0.006686536450344116,-0.08630343588098133,-0.4620676545241099,0.15622767162577825,0.014470903524356569,12.685924813384915,148,0.014584964761158966,0.7862957474933352,14,23,111,0,0,0.3
