config,strategy_class,horizon,n_slots,top_k,score_margin,ann_return,excess_ann,max_dd,sharpe,calmar,turnover,n_trades,coverage,utilization,exits_tp,exits_sl,exits_horizon,exits_rank_out,exits_score_drop,elapsed_s
C1,C,5,3,5,0.0,0.11183769105628061,0.018847718724955165,-0.28501336565363733,0.5627895198458002,0.3923945489356153,49.588462717196755,572,0.055990602975724356,0.5196486923355544,0,0,81,174,317,0.79
C2,C,5,5,5,0.0,0.0016228895080252492,-0.0913670828233002,-0.32190452972313066,0.1123738752121213,0.005041524297347082,49.145388467105796,952,0.09318715740015662,0.5061376414768003,0,0,104,376,472,1.16
C3,C,10,3,5,0.0,0.08378476208579744,-0.009205210245528006,-0.3450316899627712,0.4576202261733673,0.24283207752551011,44.71794659508223,517,0.05060689115113547,0.5494212453191265,0,0,13,169,335,0.77
C4,C,10,5,5,0.0,0.05016396684691271,-0.04282600548441273,-0.3647209479495934,0.32379620752369226,0.13754067905593859,46.14910427927077,895,0.08760767423649178,0.5454233247007162,0,0,23,393,479,1.09
C5,C,15,3,5,0.0,0.09266272555256228,-0.0003272467787631683,-0.3698640870802514,0.4920644048508585,0.25053182720185735,44.09021045869356,509,0.04982380579483164,0.5583099545841634,0,0,6,172,331,0.77
C6,C,15,5,5,0.0,0.09828048848333193,0.005290516152006486,-0.30314012463740003,0.5075212318037535,0.32420811530934673,46.1664071692992,892,0.08731401722787784,0.5492527045174078,0,0,5,392,495,1.21
C7,C,20,3,5,0.0,0.09760082260074032,0.004610850269414879,-0.38619074451365343,0.5132361072929404,0.2527269852716259,43.894541375473864,507,0.04962803445575568,0.5584880751955312,0,0,1,175,331,0.77
C8,C,20,5,5,0.0,0.10746146584056859,0.01447149350924315,-0.29085842417650176,0.5412644736053153,0.36946313707371836,45.779002847690116,883,0.08643304620203603,0.5514654873290626,0,0,1,391,491,1.1
C9,C,25,3,5,0.0,0.10227299458982664,0.009283022258501195,-0.37541449707433505,0.5311498822864692,0.27242686520327897,43.828289331288964,506,0.0495301487862177,0.5595102120327332,0,0,1,175,330,0.78
C10,C,25,5,5,0.0,0.12693545947065332,0.03394548713932788,-0.29066252197662423,0.6121667131208922,0.4367107895694298,45.87248742728279,882,0.08633516053249804,0.5522363784033502,0,0,1,391,490,1.22
C11,C,30,3,5,0.0,0.08378139881139601,-0.00920857351992943,-0.4148588765072857,0.4604469196502963,0.20195156366607153,43.47890499115961,503,0.04923649177760376,0.5613214963275965,0,0,1,174,328,0.78
C12,C,30,5,5,0.0,0.1245652412983198,0.03157526896699436,-0.2901390980300371,0.6033935475194985,0.429329387676748,45.85551278274606,882,0.08633516053249804,0.5524298026254729,0,0,0,391,491,1.1
C13,C,15,3,5,0.05,-0.015210176174831558,-0.108200148506157,-0.38211193668407495,0.09207682344870044,-0.039805550977610855,36.870391042765505,428,0.041895066562255286,0.6281018793999351,0,0,11,213,204,0.8
C14,C,15,3,5,0.1,-0.020438272097155097,-0.11342824442848054,-0.485968743665974,0.054980000014970346,-0.042056762628345394,32.75864630260217,384,0.037588097102584185,0.6623256088184047,0,0,22,236,126,0.93
C15,C,15,3,3,0.0,0.15096072346823686,0.057970751136911414,-0.37055859455722306,0.6313638395058696,0.4073869171719479,46.38279684644036,534,0.052270947533281126,0.5358689948858333,0,0,4,266,264,0.76
C16,C,15,3,8,0.0,-0.06123441908825711,-0.15422439141958255,-0.51429610945397,-0.12847866316100362,-0.11906451937439291,42.41936184392142,496,0.0485512920908379,0.5727583750063578,0,0,10,122,364,0.78
